UDISE,features__attributes__latitude,features__attributes__longitude,School Name
3070113302,31.237137,76.495163,GGSSS Ananadpur Sahib
3090200802,30.757254,75.958754,GSSS BILASPUR
3180312208,30.831507,76.5793,Gsss Kurali
3070703002,30.91033,76.486559,GSSS JHALLIAN KALAN
3070715802,30.947507,76.558155,Gsss Phoolpur Grewal
3060504102,31.187909,76.32072599999998,GSSS MALLEWAL
3070702902,31.12605,76.589038,GSSS GARDLAY
3070701202,31.140503,76.588066,GSSS ATTARI
3070719801,30.974505,76.530161,GSSS BOYS ROPAR
3170802302,30.108085,76.19871999999998,GSSS DHANETHA
3170601003,29.938611,76.026521,"GOVT MODEL SENIOR
 SECONDARY SCHOOL CHUNAGRA"
3170804502,30.072388,76.131555,Gsss Kakrala
3170608002,29.95433,76.053532,Gsss Patran
3161301102,30.124883,75.975925,GSSS GUJJRAN
3170601902,29.989642,76.030354,Gsss Duggal Kalan
3161301902,30.119961,76.030894,GSSS KHANNAL KALAN
3170604003,29.910603,76.114483,GSSS KARAMGARH /SHUTRANA
3170606302,29.86748,76.15402899999998,Gsss Taipur
3170602502,29.863028,76.07227799999998,GSSS GULAHAR
3170600203,29.85878,76.211729,Gsss Arno
3160206002,29.886982,75.95410699999998,GSSS DUDIAN
3170800802,30.002134,76.182496,GSSS BADSHAHPUR
3161304502,29.945797,75.96924099999998,GSSS RAIDHARANA SHADIHARI
3160203602,29.869327,75.987402,GSSS BANGAN
3170607302,30.019504,76.10235799999998,GSSS GHAGGA
3161305702,30.071444,75.989704,GSSS DIRBA
3170805202,30.134964,76.111603,GSSS KULARAN
3161300102,30.106489,76.09130299999998,GSSS BAGHROUL
3090904901,30.64616,75.60091,GSSS RAIKOT G
3160108202,30.587236,75.87160299999998,GSSS BHOGIWAL
3160901202,30.302299,75.79251499999998,GSSS CHANGAL
3090101402,30.739302,75.848939,GSSS DEHLON
3090101402,30.739347,75.848877,GSSS DEHLON
3160905102,30.315783,75.889824,Gsss Saron
3160707302,30.485207,75.91181899999998,GSSS MANAK MAJRA
3160908602,30.20553,75.810777,GSSS UPPLI CHATHA
3160104402,30.614609,75.810767,GSSS KANGANWAL
3160703903,30.517374,75.876661,GSSS MALERKOTLA (GIRLS)
3161302602,30.157534,75.89405999999998,Gsss Mehlan
3160908102,30.28458,75.849929,GSSS THALES
3160504002,30.373359,75.860578,Gsss (G) Dhuri
3160703902,30.51745,75.88383899999998,GSSS MALERKOTLA (BOYS)
3160107602,30.470148,75.852897,GSSS SADATPUR
3200110002,30.326685,75.50575499999998,GSSS HANDIAYA
3200200902,30.521432,75.509792,G.Sss Chiniwal Kalan
3200304517,30.429896,75.382637,GSSS SEHNA GIRLS
3090903303,30.619235,75.52139599999998,GSSS NATHOWAL
3200301702,30.338915,75.380944,GSSS DHILLWAN NABHA
3200304504,30.421343,75.38075499999998,GSSS SEHNA Boys
3160703102,30.52869,75.90732,GSSS HATHOA
3160904402,30.282654,75.89317099999998,Gsss Balian
3160502702,30.348203,75.93608999999998,"SHAHEED MAJOR SINGH
 GOVT. SENIOR SECONDARY SCHOOL BHULLARHERI"
3160907202,30.268632,75.934897,GSSS GHABDAN
3100501602,30.532772,75.36347499999998,GSSS HIMMAT PURA
3160906602,30.200164,75.90191199999998,GSSS EALWAL GAGARPUR
3200203302,30.476444,75.494423,"LOK KAVI SANT RAM UDASI
 GSSS RAISAR PUNJAB"
3200103202,30.190888,75.53568,GSSS KOTDUNNA NABARD
3090900503,30.660165,75.53739299999998,GSSS BASSIAN
3100501803,30.559889,75.38288799999998,GSSS SAHEED AVTAR SINGH MACHHI KE
3200305601,30.478535,75.33504999999998,GSSS BHADAUR BOYS
3200305403,30.476399,75.332971,G.S.S.S.Bhadaur
3140602701,30.24875,75.28135899999998,GSSS PITHO
3140500701,30.362676,75.265676,GSSS DHAPPALI
3140501001,30.403032,75.283491,Gsss Ghandabanna
3200103002,30.350448,75.491746,Gsss Khuddikalan
3200200702,30.505649,75.488028,Gsss Chananwal
3200202802,30.576716,75.48919999999998,GSSS MOOM
3100500702,30.661013,75.270697,GSSS RAOKE KALAN
3150100102,30.178815,75.39832199999998,GSSS AKALIA
3140502501,30.327082,75.24105299999998,Gsss Phul Town Boys
3140602901,30.257602,75.23980899999998,Gsss Rampura Pind
3100500603,30.686455,75.238558,GSSS RANIAN JATHEDAR MALKIT SINGH
3100500105,30.6784,75.29083,GSSS BADHNI KALAN G
3200104802,30.255544,75.443903,G.S.S.S Rureke Kalan
3100503903,30.526017,75.28519199999998,GSSS SAIDO KE
3140602201,30.208047,75.25281699999998,Gsss Mandi Kalan
3140602202,30.213194,75.253754,GSSS MANDI KALAN Girls
3150101601,30.160687,75.42391,GSS BOYS JOGA
3200302002,30.311118,75.422903,Gsss Ghunnas
3100503205,30.593629,75.298727,"GSSS GURDEV SINGH
 DHURKOT RANSEEH"
3140504001,30.265551,75.237958,GSSS RAMPURA MANDI Girls
3140504801,30.274143,75.23673499999998,Gsss Mandi Phul (B)
3160908502,30.2509,75.7954,GSSS BADRUKHAN
3160908703,30.245241,75.84558099999998,Gsss (G) Sangrur
3160100602,30.556729,75.805755,GSSS CHAK SHEKHUPUR KALAN
3160502302,30.387107,75.835581,GSSS JAHANGIR KAHERU
3200105002,30.363496,75.648137,GSSS SEKHA
3170803302,30.206428,76.154363,GSSS GAZIPUR
3160407802,30.173376,75.95131999999998,GSSS NAGRA
3170408102,30.370482,76.08993499999998,GSSS KAKRALA
3080209102,30.662549,76.200086,GSSS SALANA J.S.W.
3160502902,30.322901,75.947513,GSSS BHALWAN
3080212202,30.600736,76.160016,Gsss Shamspur
3090404203,30.666624,76.11551199999998,GSSS ISRU
3160503202,30.39294,75.96111999999998,GSSS MEEMSA
3160405802,30.257891,76.114405,GSSS NADAMPUR
3170503602,30.263912,76.19798799999998,GSSS GAJJU MAJRA
3160402102,30.216569,75.969496,GSSS GHRACHON
3090106902,30.603977,75.96969799999998,GSSS UKSI
3160405402,30.305712,76.068105,Gsss Bakhopir
3160407402,30.212144,76.04365199999998,GSSS BHATTIWAL KALAN
3160708802,30.458613,75.95386399999998,GSSS BHANBHAURA
3080200802,30.608913,76.231559,GSSS AMLOHGIRL
3080200801,30.610125,76.23108899999998,Gsss Amloh Boy
3170411102,30.35583,76.016536,GSSS MANSURPUR
3160204703,30.542273,76.01629,GSSS MANDVI
3090205502,30.652075,76.014733,GSSS SIHORA
3170404402,30.429483,76.22650299999998,Gsss Dhangera
3090207201,30.724669,76.063514,GSSS PAYAL G
3170418503,30.361505,76.15303199999998,Gsss Girls Nabha
3080212802,30.556806,76.15335899999998,Gsss Tibbi
3090407302,30.663261,76.14105499999998,GSSS RAJEWAL
3170708804,30.593597,76.63419,GSSS B MANAKPUR
3170810002,30.154416,76.192819,GSSS G SAMANA
3170311002,30.371199,76.630926,Gsss Ulana
3170311302,30.332351,76.611485,GSSS GHANOUR
3180211202,30.734036,76.636759,"GSSS NAYA SHAHAR UPGRADE
 RMSA"
3170808703,30.157683,76.18895899999998,Gsss Samana (B)
3160403202,30.295142,76.09764099999998,GSSS MAJHI
3080302402,30.654557,76.565915,GSSS CHUNNI KALAN
3160402602,30.270007,76.170356,GSSS CHANNO
3170407502,30.528395,76.170721,Gsss Jasso Majara
3170805302,30.225985,76.144301,GSSS KULBURCHAN
3170301602,30.333999,76.53122299999998,GSSS CHAPAR
3170710702,30.468419,76.532267,GSSS PABRI
3080304902,30.642551,76.43200799999998,GSSS KOTLA BAJWARA
3170717803,30.46266,76.588503,Gsss Ntc Rajpura
3180208302,30.656324,76.61707599999998,GSSS MACCHLI KALAN
3180206102,30.684131,76.616421,GSSS JHANJERI
3060101202,31.045793,76.068415,GSSS BHARTA KALAN
3060411201,31.051767,76.112729,GSSS RAHON (B)
3090607702,30.961459,75.990153,Gsss Kadiana Kalan
3090609702,30.90466,76.018882,GSSS LAKHO GADOWAL
3090614402,30.913344,76.063629,GSSS KOOM KALAN
3090604502,30.961465,76.05553399999998,GSSS CHONTA GIRL
3200105402,30.484557,75.64813499999998,GSSS THULLIWAL
3200200802,30.550313,75.648652,GSSS CHHAPA
3090905201,30.647621,75.59050999999998,Gsss B.M Raikot
3090905201,30.64695,75.5908,Gsss B.M Raikot
3160108402,30.525952,75.75971599999998,GSSS KUTHALA
3160100702,30.578921,75.74840899999998,Gsss Sandaur
3160110202,30.608266,75.76149499999998,GSSS MAHOLI KALAN
3200102302,30.465328,75.60427699999998,GSSS HAMIDI
3090900602,30.642697,75.639334,GSSS BHAINI BARINGA
3090900602,30.64296,75.63662999999998,GSSS BHAINI BARINGA
3091200902,30.72371,75.639308,Gsss Halwara
3091200902,30.72375,75.63898,Gsss Halwara
3160703202,30.450988,75.821437,Gsss Hathan
3090904902,30.64596,75.60053,Gsss Ajitsar Raikot
3161103302,30.488175,75.68891499999998,GSSS TIBBA
3161102402,30.451993,75.747023,GSSS KATRON
3090501502,30.857028,75.687701,GGSSS DAKHA
3091102902,30.833967,75.402039,Gsss Galib Kalan
3100300102,30.811405,75.336117,Gsss Ajitwal
3100300402,30.839632,75.326246,GSSS DEON
3100303107,30.718411,75.35111,GSSS DAUDAR
3100501402,30.553117,75.337807,GSSS SAHEED SHER SINGH BHAGI KE
3100501502,30.575567,75.366635,GSSS Bilaspur
3090901502,30.580477,75.581221,GSSS DADHAHOOR
3100501104,30.669594,75.342422,"GSSS LOPOH KEWAL SINGH
 DHALIWAL"
3100303302,30.779746,75.341462,GSSS DHUDI KE
3090303202,30.762313,75.558993,GSSS HAANS KALAN
3200201902,30.567443,75.5526,GSSS KALAL MAJRA
3160903203,30.21729,75.779094,GSSS UBHAWAL
3160902102,30.249571,75.73606599999998,Gsss Duggan
3080204202,30.630707,76.149341,GSSS FAIZULAPUR
3090106602,30.814704,75.95493999999998,GSSS UMEDPUR TIBBA
3090201702,30.681179,76.030399,GSSS DHAMOT
3090803902,30.766545,75.773718,GSSS NARANGWAL G
3090204902,30.798894,75.99032699999998,"GSSS RAAJGARH(SANT BABA
 VARIYAM SINGH MEMORIAL GSSS RAJGARH)"
3090202302,30.725407,75.988147,Gsss Ghudani Kalan
3080212502,30.544898,76.106289,GSSS TANDA BADHA KALAN
3090511103,30.832011,75.981582,GSSS SAHNEWAL G
3090207301,30.800181,76.038212,Gsss Doraha
3090509602,30.900368,75.838492,Gsss Civil Line
3090508603,30.889795,75.84429199999998,GMSSS Model Town
3090703202,30.951881,76.253118,Gsss Hanbowal Bet
3090707702,30.95959,76.174687,GSSS PANJGRAIAN
3090706802,30.9342,76.163317,GSSS MANEWAL
3090505308,30.836098,75.987014,Gsss Sahnewal B
3090613002,30.895901,75.96929,GSSS SAHIBANA
3170402102,30.508691,76.247157,Gsss Bhadson
3170410302,30.455201,76.285635,GSSS LAUT
3080207702,30.596174,76.26846299999998,GSSS NARAINGARH
3170411002,30.477123,76.202124,GSSS MANGEWAL
3080211601,30.668038,76.283516,Gsss Boy Gobindgarh
3170401402,30.471791,76.10156499999998,GSSS BABARPUR
3040606402,31.022425,75.395866,GSSS PARJIAN KALAN
3100201103,30.99469,75.28515,GSSS KMALKE
3100301902,30.847427,75.275383,GSSS KAPURE
3100302402,30.84726,75.24791,GSSS RAULI
