"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"vilname","upperLeft","9.5546285356349738","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","936215","30.750688","76.082725999999994","3","36","141416","03090405301","GPS Kot Panech","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033216","PUNJAB","Ludhiana","Kotpanech (153)","Department of Education","Rural","03","886421","-376820"
"","","9.5546285356349738","35.032117999820365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","936770","30.786000999999999","76.081975999999997","3","36","141421","03090404503","D.N. EVEREST MODEL HIGH SCHOOL","5","2","3","1","Primary with Upper Primary","Co-education","03","041","00225","Khanna","225","033214","PUNJAB","Ludhiana","Jaspalon (150)","Pvt. Unaided (Recognized)","Rural","03","886412","-377299"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","936795","30.787220000000001","76.081867000000003","3","36","141421","03090404501","SIKH GIRLS HIGH SCHOOL","4","6","2","1","Pr. Up Pr. and Secondary Only","Girls","03","041","00225","Khanna","225","033214","PUNJAB","Ludhiana","Jaspalon (150)","Government Aided","Rural","03","886411","-377316"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","936152","30.747136000000001","75.789174000000003","3","36","141203","03090803401","GPS MAHIMA SINGHWALA","1","1","3","1","Primary","Co-education","03","041","00227","Ludhiana (East)","227","033535","PUNJAB","Ludhiana","Mehma Singhwala (308)","Department of Education","Rural","03","883001","-376772"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","934414","30.666636","75.774359000000004","3","737","148021","03160100901","GPS RASULPUR","1","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039397","PUNJAB","Malerkotla","Rasulpur (13)","Department of Education","Rural","03","882828","-375681"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","936491","30.766545000000001","75.773718000000002","3","36","141203","03090803902","GSSS NARANGWAL G","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","041","00228","Ludhiana (West)","228","033559","PUNJAB","Ludhiana","Narangwal (306)","Department of Education","Rural","03","882821","-377035"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","933069","30.593482000000002","75.773420000000002","3","737","148020","03160102503","GURU HAR RAI MODEL HIGH SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","797","00269","Malerkotla","269","039425","PUNJAB","Malerkotla","Jhuner (44)","Pvt. Unaided (Recognized)","Rural","03","882817","-374691"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","933073","30.593519000000001","75.772582","3","737","148020","03160102501","GPS JHUNER","1","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039425","PUNJAB","Malerkotla","Jhuner (44)","Department of Education","Rural","03","882807","-374691"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","933871","30.638359999999999","75.773154000000005","3","36","141205","03090803301","GPS MAHERNA KALAN","1","1","3","1","Primary","Co-education","03","041","00229","Raikot","229","033715","PUNJAB","Ludhiana","Maherna Kalan (381)","Department of Education","Rural","03","882814","-375298"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","934256","30.658193000000001","75.772767999999999","3","737","148021","03160100902","GMS RASULPUR","1","4","3","1","Upper Primary only","Co-education","03","041","00229","Raikot","229","033715","PUNJAB","Ludhiana","Maherna Kalan (381)","Department of Education","Rural","03","882810","-375567"
