"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"vilname","upperLeft","9.5546285356349738","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","938026","30.856054","75.710605999999999","3","36","141102","03090500802","BHAI ISHER SINGH MEMORIAL GHS BHANOHAR","1","7","3","1","Upper Pr. and Secondary","Co-education","03","041","00228","Ludhiana (West)","228","033600","PUNJAB","Ludhiana","Bhanohar (296)","Department of Education","Rural","03","882085","-378250","True"
"","","9.5546285356349738","35.032117999820365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","940081","30.953116000000001","75.710662999999997","3","36","141008","03090611502","GSSS NOORPUR BET","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","041","00228","Ludhiana (West)","228","033639","PUNJAB","Ludhiana","Nurpur Bet (123)","Department of Education","Rural","03","882086","-379568",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","940102","30.954877","75.710094999999995","3","36","141008","03090611503","MANDEEP MEMORIAL PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00228","Ludhiana (West)","228","033639","PUNJAB","Ludhiana","Nurpur Bet (123)","Pvt. Unaided (Recognized)","Rural","03","882079","-379591",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","940937","31.043742000000002","75.710435000000004","3","34","144035","03040905604","S.B.S.EVERSHINE CONVENT SCHOOL, PARTABPURA (ASSOCIATED TO PSEB)(PHILLAUR)","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","037","00211","Phillaur","211","030040","PUNJAB","Jalandhar","Partappura (121)","Pvt. Unaided (Recognized)","Rural","03","882083","-380799",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","940938","31.043742000000002","75.710435000000004","3","34","144035","03040905004","MATA GANGA JI PUBLIC SCHOOL, VILL.MAU SAHIB (ASSOCIATED TO PSEB)(PHILLAUR)","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","037","00211","Phillaur","211","030040","PUNJAB","Jalandhar","Partappura (121)","Pvt. Unaided (Recognized)","Rural","03","882083","-380799",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","940944","31.0442","75.710300000000004","3","34","144035","03040905606","GURU NANAK ACADEMY","5","2","3","1","Primary with Upper Primary","Co-education","03","037","00211","Phillaur","211","030040","PUNJAB","Jalandhar","Partappura (121)","Pvt. Unaided (Recognized)","Rural","03","882082","-380806",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","934520","30.671524000000002","76.064988999999997","3","36","141414","03090400402","GMS ALOONA TOLA","1","4","3","1","Upper Primary only","Co-education","03","041","00226","Payal","226","033262","PUNJAB","Ludhiana","Aluna Tolla (256)","Department of Education","Rural","03","886214","-375748",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","936882","30.792206","76.063284999999993","3","36","141421","03090204501","GPS MALHIPUR","1","1","3","1","Primary","Co-education","03","041","00226","Payal","226","033337","PUNJAB","Ludhiana","Malhipur (247)","Department of Education","Rural","03","886194","-377383",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","937818","30.844602999999999","76.063542999999996","3","36","141113","03090501303","DECENT CONVENT SCHOOL\n","5","2","3","1","Primary with Upper Primary","Co-education","03","041","00227","Ludhiana (East)","227","033363","PUNJAB","Ludhiana","Chhandaran (213)","Pvt. Unaided (Recognized)","Rural","03","886197","-378094",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","938597","30.883554","76.068100000000001","3","36","141126","03090612003","GURU GOBIND SINGH SEN. SEC. SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00227","Ludhiana (East)","227","033369","PUNJAB","Ludhiana","Partapgarh (198)","Pvt. Unaided (Recognized)","Rural","03","886250","-378623",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","940424","30.987639999999999","76.066291000000007","3","36","141127","03090610601","GPS MAND CHONTA","1","1","3","1","Primary","Co-education","03","041","00227","Ludhiana (East)","227","033400","PUNJAB","Ludhiana","Mand Chaunta (27)","Department of Education","Rural","03","886229","-380037",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","940553","31.006032999999999","76.064136000000005","3","40","144517","03060107501","GPS TALWANDI SIBHU","1","1","3","1","Primary","Co-education","03","039","00218","Nawanshahr","218","032273","PUNJAB","Shahid Bhagat Singh Nagar","Talwandi Shibu (280)","Department of Education","Rural","03","886204","-380287",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_cat","esriFieldTypeString","Category","50","940963","31.045793","76.068415000000002","3","40","144518","03060101202","GSSS BHARTA KALAN","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","039","00218","Nawanshahr","218","032276","PUNJAB","Shahid Bhagat Singh Nagar","Bharta Kalan (219)","Department of Education","Rural","03","886254","-380827",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_typ","esriFieldTypeString","School Type","30","940964","31.046040000000001","76.069089000000005","3","40","144518","03060101203","SHRI GURU RAM RAI PUBLIC SCHOOL BHARTA KALAN","5","2","3","1","Primary with Upper Primary","Co-education","03","039","00218","Nawanshahr","218","032276","PUNJAB","Shahid Bhagat Singh Nagar","Bharta Kalan (219)","Pvt. Unaided (Recognized)","Rural","03","886262","-380831",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stcode11","esriFieldTypeString","stcode11","2","941157","31.064046000000001","76.070299000000006","3","40","144518","03060103702","GMS KANG","1","4","3","1","Upper Primary only","Co-education","03","039","00218","Nawanshahr","218","032267","PUNJAB","Shahid Bhagat Singh Nagar","Kang (169)","Department of Education","Rural","03","886276","-381075",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtcode11","esriFieldTypeString","dtcode11","3","941160","31.064188000000001","76.070262999999997","3","40","144518","03060103701","GPS KANG","1","1","3","1","Primary","Co-education","03","039","00218","Nawanshahr","218","032267","PUNJAB","Shahid Bhagat Singh Nagar","Kang (169)","Department of Education","Rural","03","886276","-381077",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtcode11","esriFieldTypeString","sdtcode11","5","935165","30.700536","76.057652000000004","3","36","141416","03090203001","GPS JALLAH","1","1","3","1","Primary","Co-education","03","041","00226","Payal","226","033325","PUNJAB","Ludhiana","Jallah (231)","Department of Education","Rural","03","886129","-376141",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtname","esriFieldTypeString","Sub-district","30","935169","30.700813","76.057620999999997","3","36","141416","03090203002","SHAHEED SIPAHI SITAL SINGH GMS JALLAH","1","4","3","1","Upper Primary only","Co-education","03","041","00226","Payal","226","033325","PUNJAB","Ludhiana","Jallah (231)","Department of Education","Rural","03","886128","-376144",""
