"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"vilname","upperLeft","38.218514142537281","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","934603","30.675526000000001","76.177565999999999","3","30","147301","03080208701","GPS RATTAN PALO","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032845","PUNJAB","Fatehgarh Sahib","Rattan Palon (161)","Department of Education","Rural","03","221881","-93950"
"","","38.218514142537281","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","934733","30.681529000000001","76.140210999999994","3","36","141414","03090405501","GPS KOTLA DHAK","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033230","PUNJAB","Ludhiana","Kotla Dhak (245)","Department of Education","Rural","03","221773","-93971"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","934591","30.674903","76.123838000000006","3","36","141414","03090404201","GPS BR ISRU KHURD","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033237","PUNJAB","Ludhiana","Khurd (262)","Department of Education","Rural","03","221725","-93948"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","933826","30.636026999999999","76.154062999999994","3","30","147203","03080204201","GPS FAIZULAPUR","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032841","PUNJAB","Fatehgarh Sahib","Faizulapura (166)","Department of Education","Rural","03","221813","-93817"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","934816","30.686181000000001","76.154911999999996","3","36","141414","03090403902","GSSS IKOLAHA","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","041","00225","Khanna","225","033231","PUNJAB","Ludhiana","Ikolaha (236)","Department of Education","Rural","03","221815","-93987"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","935766","30.728667000000002","76.155016000000003","3","36","141412","03090406601","GPS MOHANPUR","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033204","PUNJAB","Ludhiana","Mohanpur (229)","Department of Education","Rural","03","221816","-94130"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","936167","30.748351","76.154253999999995","3","36","141412","03090402303","GSSS DAHERU (G)","1","5","2","1","Up. Pr. Secondary and Higher Sec","Girls","03","041","00225","Khanna","225","033206","PUNJAB","Ludhiana","Daheru (164)","Department of Education","Rural","03","221814","-94197"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","933844","30.636683999999999","76.261454999999998","3","30","147203","03080201801","GPS B.B.SALANI","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032881","PUNJAB","Fatehgarh Sahib","Salani (66)","Department of Education","Rural","03","222126","-93819"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","934382","30.6647","76.270700000000005","3","30","147301","03080205104","SD MODEL SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","040","00222","Amloh","222","032889","PUNJAB","Fatehgarh Sahib","Jasran (2) (Part)","Pvt. Unaided (Recognized)","Rural","03","222153","-93914"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","935593","30.721900000000002","76.270799999999994","3","30","147301","03080211504","SHAHEED BHAGAT SINGH MEM. PUBLIC SCHOOL","5","2","3","2","Primary with Upper Primary","Co-education","03","041","00225","Khanna","225","033183","PUNJAB","Ludhiana","Ramgarh (216)","Pvt. Unaided (Recognized)","Urban","03","222153","-94108"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","936070","30.743054999999998","76.271608000000001","3","36","141417","03091002901","GPS Jalanpur","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033178","PUNJAB","Ludhiana","Jalanpur (207)","Department of Education","Rural","03","222155","-94179"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","936114","30.744971","76.170057999999997","3","36","141417","03090403101","GPS GANDWA","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033205","PUNJAB","Ludhiana","Gandhwan (227)","Department of Education","Rural","03","221860","-94186"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_cat","esriFieldTypeString","Category","50","935220","30.702591000000002","76.164426000000006","3","36","141414","03090404003","DELHI PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00225","Khanna","225","033222","PUNJAB","Ludhiana","Ikolahi (326)","Pvt. Unaided (Recognized)","Rural","03","221843","-94042"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_typ","esriFieldTypeString","School Type","30","933680","30.627200999999999","76.144645999999995","3","30","147203","03080212701","GPS TANGRALA","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032840","PUNJAB","Fatehgarh Sahib","Tangrala (174)","Department of Education","Rural","03","221786","-93787"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stcode11","esriFieldTypeString","stcode11","2","935529","30.718313999999999","76.144524000000004","3","36","141412","03090401501","GPS BHAMADDI\n","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033221","PUNJAB","Ludhiana","Bhamaddi (234)","Department of Education","Rural","03","221785","-94095"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtcode11","esriFieldTypeString","dtcode11","3","935542","30.718916","76.143641000000002","3","36","141412","03090401502","GHS BHAMADDI\n","1","7","3","1","Upper Pr. and Secondary","Co-education","03","041","00225","Khanna","225","033221","PUNJAB","Ludhiana","Bhamaddi (234)","Department of Education","Rural","03","221783","-94097"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtcode11","esriFieldTypeString","sdtcode11","5","934751","30.682621999999999","76.264730999999998","3","36","141401","03090400502","GMS ALOUR","1","4","3","1","Upper Primary only","Co-education","03","041","00225","Khanna","225","033192","PUNJAB","Ludhiana","Alaur (221)","Department of Education","Rural","03","222135","-93974"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtname","esriFieldTypeString","Sub-district","30","935114","30.698474000000001","76.212481999999994","3","36","141401","03090409802","D.A.V. PUBLIC SEN.SEC. SCHOOL\n","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00225","Khanna","225","","PUNJAB","Ludhiana"," ","Pvt. Unaided (Recognized)","Urban","03","221983","-94028"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","subdt_lgd","esriFieldTypeInteger","subdt_lgd","","935157","30.700216999999999","76.213071999999997","3","36","141401","03090410803","GMS MUHALA RAMDASIA","1","4","3","2","Upper Primary only","Co-education","03","041","00225","Khanna","225","800191","PUNJAB","Ludhiana","Khanna (M Cl)","Department of Education","Urban","03","221985","-94034"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilcode11","esriFieldTypeString","vilcode11","6","935193","30.701606000000002","76.213466999999994","3","36","141401","03090408604","NAROTTAM VIDYA MANDIR","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00225","Khanna","225","800191","PUNJAB","Ludhiana","Khanna (M Cl)","Pvt. Unaided (Recognized)","Urban","03","221986","-94039"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stname","esriFieldTypeString","State","30","935250","30.704236999999999","76.213685999999996","3","36","141401","03090411301","HOLLYWOOD PUBLIC SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","041","00225","Khanna","225","800191","PUNJAB","Ludhiana","Khanna (M Cl)","Pvt. Unaided (Recognized)","Urban","03","221987","-94048"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtname","esriFieldTypeString","District","50","935252","30.704284999999999","76.213643000000005","3","36","141401","03090409003","HIMALYA PUBLIC SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00225","Khanna","225","800191","PUNJAB","Ludhiana","Khanna (M Cl)","Pvt. Unaided (Recognized)","Urban","03","221987","-94048"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilname","esriFieldTypeString","Village","50","935285","30.705545000000001","76.213392999999996","3","36","141401","03090409302","ATAM MANOHAR JAIN MODERN SEN.SEC.SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00225","Khanna","225","800191","PUNJAB","Ludhiana","Khanna (M Cl)","Pvt. Unaided (Recognized)","Urban","03","221986","-94052"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","management","esriFieldTypeString","Management","50","935505","30.716957000000001","76.213785000000001","3","36","141401","03090409104","N.J.S.A. PUBLIC SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00225","Khanna","225","","PUNJAB","Ludhiana"," ","Pvt. Unaided (Recognized)","Urban","03","221987","-94091"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","location","esriFieldTypeString","Location","30","934229","30.656849999999999","76.263726000000005","3","30","147301","03080206201","GPS LADPUR","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032836","PUNJAB","Fatehgarh Sahib","Ladpur (170)","Department of Education","Rural","03","222132","-93887"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","udise_stco","esriFieldTypeString","udise_stco","2","934126","30.651367","76.285870000000003","3","30","147301","03080205102","GMS JASSRAN SSA","1","4","3","1","Upper Primary only","Co-education","03","040","00222","Amloh","222","032889","PUNJAB","Fatehgarh Sahib","Jasran (2) (Part)","Department of Education","Rural","03","222197","-93869"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","934211","30.656130999999998","76.286933000000005","3","30","147301","03080205101","GPS JASSRAN","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032889","PUNJAB","Fatehgarh Sahib","Jasran (2) (Part)","Department of Education","Rural","03","222200","-93885"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933248","30.602965999999999","76.285674999999998","3","30","147203","03080202001","GPS BADALI","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032877","PUNJAB","Fatehgarh Sahib","Badali (38)","Department of Education","Rural","03","222196","-93705"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","934559","30.6736","76.285499999999999","3","30","147301","03080209501","GPS NASRALI","1","1","3","2","Primary","Co-education","03","040","00222","Amloh","222","032887","PUNJAB","Fatehgarh Sahib","Nasrali (63)","Department of Education","Urban","03","222196","-93944"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","935479","30.715800000000002","76.284400000000005","3","30","147301","03080209805","VIVEKA NAND PUBLIC SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","041","00225","Khanna","225","033182","PUNJAB","Ludhiana","Malakpur (208)","Pvt. Unaided (Recognized)","Urban","03","222193","-94087"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","935490","30.716087000000002","76.284406000000004","3","36","141401","03090408001","GPS SAHIBPURA","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033182","PUNJAB","Ludhiana","Malakpur (208)","Department of Education","Rural","03","222193","-94088"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933252","30.603076999999999","76.189447999999999","3","30","147203","03080206301","GPS LAKHA SINGH WALA","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032851","PUNJAB","Fatehgarh Sahib","Lakha Singhwala (21)","Department of Education","Rural","03","221916","-93705"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","934605","30.675640999999999","76.188865000000007","3","36","141414","03090400701","GPS BAGHOUR","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033198","PUNJAB","Ludhiana","Baghaur (241)","Department of Education","Rural","03","221914","-93951"
