"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"vilname","upperLeft","76.437028285071975","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","912372","29.913321","76.083416","3","41","147105","03170602302","GPS KUAN DERI","1","1","3","1","Primary","Co-education","03","048","00251","Patran","251","036247","PUNJAB","Patiala","Gobindpura Alias Paind (168)","Department of Education","Rural","03","110804","-45690"
"","","76.437028285071975","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","913510","29.940888000000001","76.141879000000003","3","41","147105","03170603202","SAHIBZADA AJIT SINGH PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","048","00251","Patran","251","036262","PUNJAB","Patiala","Jaikhar (196)","Pvt. Unaided (Recognized)","Rural","03","110889","-45736"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","917326","30.041588999999998","76.123054999999994","3","41","147102","03170601302","GHS DEDHNA","1","7","3","1","Upper Pr. and Secondary","Co-education","03","048","00251","Patran","251","036288","PUNJAB","Patiala","Dehdana (184)","Department of Education","Rural","03","110861","-45905"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","912085","29.904442","76.059972000000002","3","41","147105","03170604902","SHRI GURU HARKRISHAN SEN.SEC. SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","048","00251","Patran","251","036249","PUNJAB","Patiala","Gafurpura Alias Maulviwala (170)","Pvt. Unaided (Recognized)","Rural","03","110769","-45675"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","912115","29.905334","76.058266000000003","3","41","147105","03170604903","GMS MAULVIWALA UPS","1","4","3","1","Upper Primary only","Co-education","03","048","00251","Patran","251","036249","PUNJAB","Patiala","Gafurpura Alias Maulviwala (170)","Department of Education","Rural","03","110767","-45676"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","915636","29.982934","76.059714999999997","3","41","147105","03170605501","GPS RAMPUR DUGGAL","1","1","3","1","Primary","Co-education","03","048","00251","Patran","251","036270","PUNJAB","Patiala","Rampura Dugal (143)","Department of Education","Rural","03","110769","-45807"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","917364","30.043081000000001","76.058115000000001","3","41","147102","03170600501","GPS BRASS A","1","1","3","1","Primary","Co-education","03","048","00251","Patran","251","036286","PUNJAB","Patiala","Baras (130)","Department of Education","Rural","03","110767","-45908"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","911852","29.897172999999999","76.090845000000002","3","41","147105","03170602301","GPS GOBINDPURA PAIND","1","1","3","1","Primary","Co-education","03","048","00251","Patran","251","036247","PUNJAB","Patiala","Gobindpura Alias Paind (168)","Department of Education","Rural","03","110814","-45662"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","919214","30.108084999999999","76.198719999999994","3","41","147101","03170802302","GSSS DHANETHA","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","048","00250","Samana","250","036173","PUNJAB","Patiala","Dhanetha (75)","Department of Education","Rural","03","110972","-46017"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","919220","30.108412999999999","76.199383999999995","3","41","147101","03170802305","NEW EVER GREEN HIGH SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","048","00250","Samana","250","036173","PUNJAB","Patiala","Dhanetha (75)","Pvt. Unaided (Recognized)","Rural","03","110973","-46018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","919221","30.108412999999999","76.199383999999995","3","41","147101","03170802301","GPS DHANETHA","1","1","3","1","Primary","Co-education","03","048","00250","Samana","250","036173","PUNJAB","Patiala","Dhanetha (75)","Department of Education","Rural","03","110973","-46018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","912038","29.902856","75.970174999999998","3","41","147105","03170603701","GPS KALAR BHAINI","1","1","3","1","Primary","Co-education","03","048","00251","Patran","251","","PUNJAB","Patiala"," ","Department of Education","Rural","03","110639","-45672"
