"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_cat","esriFieldTypeString","Category","50","935636","30.723362999999999","76.108174000000005","3","36","141412","03090403301","GPS GHUNGRALI RAJPUTAN","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033220","PUNJAB","Ludhiana","Ghungrali (233)","Department of Education","Rural","03","886717","-376450",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_typ","esriFieldTypeString","School Type","30","936258","30.753377","76.107591999999997","3","36","141412","03090401702","GSSS BIJA","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","041","00225","Khanna","225","033210","PUNJAB","Ludhiana","Bija (157)","Department of Education","Rural","03","886711","-376857",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stcode11","esriFieldTypeString","stcode11","2","933081","30.593928999999999","76.206700999999995","3","30","147203","03080202301","GPS BAINI ZER","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032855","PUNJAB","Fatehgarh Sahib","Bhambrian (66)","Department of Education","Rural","03","887865","-374697",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtcode11","esriFieldTypeString","dtcode11","3","933639","30.624226","76.206935000000001","3","30","147203","03080205701","GPS KHANIAN","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032861","PUNJAB","Fatehgarh Sahib","Khanian (23)","Department of Education","Rural","03","887868","-375107",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtcode11","esriFieldTypeString","sdtcode11","5","935010","30.694078000000001","76.206943999999993","3","36","141401","03090405003","SHER GILL PUBLIC SCHOOL\n","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00225","Khanna","225","","PUNJAB","Ludhiana"," ","Pvt. Unaided (Recognized)","Urban","03","887868","-376053",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtname","esriFieldTypeString","Sub-district","30","935024","30.694578","76.207738000000006","3","36","141401","03090405002","GMS KHANNA KHURD","1","4","3","2","Upper Primary only","Co-education","03","041","00225","Khanna","225","","PUNJAB","Ludhiana"," ","Department of Education","Urban","03","887877","-376060",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","subdt_lgd","esriFieldTypeInteger","subdt_lgd","","935464","30.714863999999999","76.207866999999993","3","36","141401","03090410901","GPS BR KHANNA NO.V","1","1","3","2","Primary","Co-education","03","041","00225","Khanna","225","","PUNJAB","Ludhiana"," ","Department of Education","Urban","03","887879","-376335",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilcode11","esriFieldTypeString","vilcode11","6","937599","30.832370999999998","76.206710999999999","3","36","141114","03091001303","MAX ARTHUR MACAULIFFE PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00224","Samrala","224","033102","PUNJAB","Ludhiana","Boundli (107)","Pvt. Unaided (Recognized)","Rural","03","887865","-377928",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stname","esriFieldTypeString","State","30","938022","30.855972999999999","76.207628999999997","3","36","141114","03090703401","GPS Harion Khurd","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033105","PUNJAB","Ludhiana","Harion Khurd (92)","Department of Education","Rural","03","887876","-378248",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtname","esriFieldTypeString","District","50","933658","30.625485999999999","76.206423999999998","3","30","147203","03080205702","GHS KHANIAN","1","7","3","1","Upper Pr. and Secondary","Co-education","03","040","00222","Amloh","222","032861","PUNJAB","Fatehgarh Sahib","Khanian (23)","Department of Education","Rural","03","887862","-375124",""
