"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"vilname","upperLeft","76.437028285071975","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","921837","30.195627999999999","75.680464000000001","3","43","148106","03160900602","GSSS LONGOWAL (GIRLS)","1","5","2","2","Up. Pr. Secondary and Higher Sec","Girls","03","053","00271","Sangrur","271","800274","PUNJAB","Sangrur","Longowal (M Cl)","Department of Education","Urban","03","110217","-46165"
"","","76.437028285071975","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","921864","30.196738","75.680362000000002","3","43","148106","03160900304","TAGORE VIDYALAYA","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","053","00271","Sangrur","271","800274","PUNJAB","Sangrur","Longowal (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110217","-46166"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","924081","30.278388","75.680850000000007","3","605","148106","03200100804","SHRI GURU GOBIND SINGH PUBLIC SCHOOL BHAINI MEHRAJ","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","054","00275","Barnala","275","039973","PUNJAB","Barnala","Bhaini Mehraj (65)","Pvt. Unaided (Recognized)","Rural","03","110217","-46304"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","924144","30.280100999999998","75.682501000000002","3","605","148106","03200100801","GPS BHAINI MEHRAJ","1","1","3","1","Primary","Co-education","03","054","00275","Barnala","275","039973","PUNJAB","Barnala","Bhaini Mehraj (65)","Department of Education","Rural","03","110220","-46307"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","924146","30.280110000000001","75.682032000000007","3","605","148106","03200100802","GSSS BHAINI MEHRAJ","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","054","00275","Barnala","275","039973","PUNJAB","Barnala","Bhaini Mehraj (65)","Department of Education","Rural","03","110219","-46307"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","925049","30.304576999999998","75.680609000000004","3","43","148106","03161101102","GPS BALIAN II","1","1","3","1","Primary","Co-education","03","053","00270","Dhuri","270","039606","PUNJAB","Sangrur","Balian (48)","Department of Education","Rural","03","110217","-46348"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","926044","30.329557000000001","75.682427000000004","3","43","148024","03161100701","GPS KUMBERWAL","1","1","3","1","Primary","Co-education","03","053","00270","Dhuri","270","039603","PUNJAB","Sangrur","Kumbarwal (47)","Department of Education","Rural","03","110220","-46390"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","928163","30.385601999999999","75.682478000000003","3","43","148025","03161102202","GHS ENNA BAJWA","1","7","3","1","Upper Pr. and Secondary","Co-education","03","053","00270","Dhuri","270","039594","PUNJAB","Sangrur","Ina Bajwa (32)","Department of Education","Rural","03","110220","-46485"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","929643","30.439166","75.702586999999994","3","43","148025","03161101716","GREAT WISDOM SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","053","00270","Dhuri","270","039589","PUNJAB","Sangrur","Sherpur (31)","Pvt. Unaided (Recognized)","Rural","03","110249","-46575"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","929700","30.441590000000001","75.703338000000002","3","43","148025","03161101714","GREWAL SEN. SEC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","053","00270","Dhuri","270","039589","PUNJAB","Sangrur","Sherpur (31)","Pvt. Unaided (Recognized)","Rural","03","110250","-46580"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","921421","30.179314999999999","75.596991000000003","3","43","148106","03160901901","GES RATTOKE","1","2","3","1","Primary with Upper Primary","Co-education","03","053","00271","Sangrur","271","039787","PUNJAB","Sangrur","Mander Khurd (81)","Department of Education","Rural","03","110095","-46137"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","929312","30.426200000000001","75.649411000000001","3","605","148109","03200103901","GPS NANGAL","1","1","3","1","Primary","Co-education","03","054","00275","Barnala","275","039994","PUNJAB","Barnala","Nangal (22)","Department of Education","Rural","03","110172","-46554"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_cat","esriFieldTypeString","Category","50","929394","30.429366999999999","75.647557000000006","3","605","148109","03200103902","GHS NANGAL UPGRADE RMSA","1","7","3","1","Upper Pr. and Secondary","Co-education","03","054","00275","Barnala","275","039994","PUNJAB","Barnala","Nangal (22)","Department of Education","Rural","03","110169","-46559"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_typ","esriFieldTypeString","School Type","30","920590","30.152625","75.866630999999998","3","43","148028","03161206502","BRITISH CONVENT SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","053","00272","Sunam","272","039803","PUNJAB","Sangrur","Mard Khera (52)","Pvt. Unaided (Recognized)","Rural","03","110488","-46092"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stcode11","esriFieldTypeString","stcode11","2","920613","30.153659999999999","75.868038999999996","3","43","148028","03161206501","GPS MARAD KHERA","1","1","3","1","Primary","Co-education","03","053","00272","Sunam","272","039803","PUNJAB","Sangrur","Mard Khera (52)","Department of Education","Rural","03","110490","-46094"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtcode11","esriFieldTypeString","dtcode11","3","922742","30.231078","75.867767999999998","3","43","148001","03160904904","NAGAN BABA SAHIB DASS PUBLIC SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","053","00271","Sangrur","271","039751","PUNJAB","Sangrur","Sohian (39)","Pvt. Unaided (Recognized)","Rural","03","110490","-46224"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtcode11","esriFieldTypeString","sdtcode11","5","922764","30.231894","75.867746999999994","3","43","148001","03160904903","SEWA DAL PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","053","00271","Sangrur","271","039751","PUNJAB","Sangrur","Sohian (39)","Pvt. Unaided (Recognized)","Rural","03","110490","-46226"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtname","esriFieldTypeString","Sub-district","30","923339","30.253937000000001","75.867215000000002","3","43","148002","03160904701","GPS MANGWAL","1","1","3","1","Primary","Co-education","03","053","00271","Sangrur","271","039764","PUNJAB","Sangrur","Mangwal (35)","Department of Education","Rural","03","110489","-46263"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","subdt_lgd","esriFieldTypeInteger","subdt_lgd","","925072","30.305253","75.868397999999999","3","43","148034","03160906501","GPS FATHEGARH CHANNA","1","1","3","1","Primary","Co-education","03","053","00271","Sangrur","271","","PUNJAB","Sangrur"," ","Department of Education","Rural","03","110490","-46349"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilcode11","esriFieldTypeString","vilcode11","6","927433","30.366893000000001","75.867270000000005","3","43","148024","03160501202","GSSS DHURI PIND","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","053","00270","Dhuri","270","800271","PUNJAB","Sangrur","Dhuri (M Cl)","Department of Education","Rural","03","110489","-46453"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stname","esriFieldTypeString","State","30","927490","30.368914","75.867642000000004","3","43","148024","03160501501","GPS WARD NO.VI DHURI","1","1","3","2","Primary","Co-education","03","053","00270","Dhuri","270","800271","PUNJAB","Sangrur","Dhuri (M Cl)","Department of Education","Urban","03","110489","-46457"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtname","esriFieldTypeString","District","50","927756","30.375582999999999","75.868145999999996","3","43","148024","03160500101","GPS SUGAR MILL DHURI","1","1","3","2","Primary","Co-education","03","053","00270","Dhuri","270","800271","PUNJAB","Sangrur","Dhuri (M Cl)","Department of Education","Urban","03","110490","-46468"
