"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"vilname","upperLeft","76.437028285071975","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","939408","30.921965","75.619304","3","36","141110","03091106401","GPS PURRAIN","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033809","PUNJAB","Ludhiana","Porain (12)","Department of Education","Rural","03","110128","-47393","True"
"","","76.437028285071975","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","939410","30.922031","75.619388000000001","3","36","141110","03091106402","GSSS PURRAIN","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","041","00230","Jagraon","230","033809","PUNJAB","Ludhiana","Porain (12)","Department of Education","Rural","03","110128","-47393",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","937867","30.847256999999999","75.681312000000005","3","36","141102","03090501504","NEW PUBLIC HIGH SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","041","00228","Ludhiana (West)","228","033662","PUNJAB","Ludhiana","Dakha (142)","Pvt. Unaided (Recognized)","Rural","03","110218","-47266",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","937973","30.853013000000001","75.681528999999998","3","36","141102","03090501505","GURU TEG BAHADUR PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00228","Ludhiana (West)","228","033662","PUNJAB","Ludhiana","Dakha (142)","Pvt. Unaided (Recognized)","Rural","03","110218","-47276",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","940764","31.024722000000001","75.681388999999996","3","34","144039","03040908202","GMS THAMANWAL","1","4","3","1","Upper Primary only","Co-education","03","037","00211","Phillaur","211","030029","PUNJAB","Jalandhar","Thammanwal (112)","Department of Education","Rural","03","110218","-47568",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","938289","30.867215999999999","75.587165999999996","3","36","142025","03091107201","GPS SAWADDI KALAN","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033804","PUNJAB","Ludhiana","Swaddi Kalan (71)","Department of Education","Rural","03","110081","-47300",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","937388","30.81964","75.601997999999995","3","36","142023","03090306001","GPS SHEKHUPURA","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033788","PUNJAB","Ludhiana","Sheikhupura (110)","Department of Education","Rural","03","110102","-47219",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","936248","30.752779","75.703986999999998","3","36","141105","03090804704","G.G.S MODEL SCHOOL","5","1","3","1","Primary","Co-education","03","041","00228","Ludhiana (West)","228","033563","PUNJAB","Ludhiana","Saraba (354)","Pvt. Unaided (Recognized)","Rural","03","110251","-47106",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","937003","30.799218","75.598989000000003","3","36","142023","03091201303","HARVEST INTERNATIONAL SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00230","Jagraon","230","033786","PUNJAB","Ludhiana","Jassowal (89)","Pvt. Unaided (Recognized)","Rural","03","110098","-47185",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","937869","30.847287999999999","75.598731000000001","3","36","142025","03091108302","GSSS TALWANDI KALAN","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","041","00230","Jagraon","230","033805","PUNJAB","Ludhiana","Talwandi Kalan (72)","Department of Education","Rural","03","110098","-47266",""
