"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"vilname","upperLeft","152.87405657041043","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","900564","29.545832999999998","76.123889000000005","6","65","126116","06090601202","GGPS JHEEL","1","1","3","1","Primary","Co-education","06","077","00382","Narwana","382","060022","HARYANA","Jind","Jheel (95)","Department of Education","Rural","06","55431","-22537","True"
"","","152.87405657041043","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","900592","29.546944","76.124167","6","65","126116","06090601201","GPS JHEEL","1","1","3","1","Primary","Co-education","06","077","00382","Narwana","382","060022","HARYANA","Jind","Jheel (95)","Department of Education","Rural","06","55431","-22538",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","900596","29.547001000000002","76.124001000000007","6","65","126116","06090601203","GMS JHEEL","1","4","3","1","Upper Primary only","Co-education","06","077","00382","Narwana","382","060022","HARYANA","Jind","Jheel (95)","Department of Education","Rural","06","55431","-22538",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","901938","29.589233","76.124183000000002","6","65","126116","06090705125","DELIGHT HIGH SCHOOL NARWANA","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","06","077","00382","Narwana","382","800391","HARYANA","Jind","Narwana (M Cl)","Pvt. Unaided (Recognized)","Urban","06","55431","-22573",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","902179","29.595800000000001","76.124350000000007","6","65","126116","06094100677","RDSD MIDDLE SCHOOL","5","2","3","1","Primary with Upper Primary","Co-education","06","077","00382","Narwana","382","800391","HARYANA","Jind","Narwana (M Cl)","Pvt. Unaided (Recognized)","Rural","06","55432","-22578",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","909054","29.813352999999999","76.124039999999994","3","41","147105","03170601702","GHS DHABI GUJJRAN","1","7","3","1","Upper Pr. and Secondary","Co-education","03","048","00251","Patran","251","036233","PUNJAB","Patiala","Dhabi Gujran (138)","Department of Education","Rural","03","55431","-22761",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","901891","29.587399999999999","76.121267000000003","6","65","126116","06090705121","SD SEN SEC SCHOOL NARWANA","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","06","077","00382","Narwana","382","800391","HARYANA","Jind","Narwana (M Cl)","Pvt. Unaided (Recognized)","Urban","06","55429","-22571",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","902346","29.600617","76.121317000000005","6","65","126116","06090705107","GGSSS NARWANA","1","5","2","2","Up. Pr. Secondary and Higher Sec","Girls","06","077","00382","Narwana","382","800391","HARYANA","Jind","Narwana (M Cl)","Department of Education","Urban","06","55429","-22583",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","905294","29.698502000000001","76.121499","6","65","126116","06090700607","SHIKSHA BHARTI MODEL SCHOOL UJHANA","5","2","3","1","Primary with Upper Primary","Co-education","06","077","00382","Narwana","382","059970","HARYANA","Jind","Ujhana (50)","Pvt. Unaided (Recognized)","Rural","06","55430","-22665",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","912187","29.907422","76.121875000000003","3","41","147105","03170604009","GURU GOBIND SINGH PUBLIC SCHOO","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","048","00251","Patran","251","036258","PUNJAB","Patiala","Shutrana (200)","Pvt. Unaided (Recognized)","Rural","03","55430","-22840",""
