"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"vilname","upperLeft","76.437028285071975","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","937269","30.811623999999998","76.122699999999995","3","36","141114","03091004004","SATYA BHARTI SCHOOL, MADPUR\n","5","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033124","PUNJAB","Ludhiana","Madpur (143)","Pvt. Unaided (Recognized)","Rural","03","110861","-47206"
"","","76.437028285071975","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","937427","30.822223000000001","76.123041999999998","3","36","141114","03091004001","GPS MADPUR","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033124","PUNJAB","Ludhiana","Madpur (143)","Department of Education","Rural","03","110861","-47224"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","940088","30.953334999999999","76.122260999999995","3","36","141127","03090617201","GPS FATEHGARH GUJRAN","1","1","3","1","Primary","Co-education","03","041","00227","Ludhiana (East)","227","033616","PUNJAB","Ludhiana","Fatehgarh Gujjran (93)","Department of Education","Rural","03","110860","-47446"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","940982","31.047787","76.122476000000006","3","40","144517","03060411602","SK PUBLIC SCHOOL RAHON","5","2","3","2","Primary with Upper Primary","Co-education","03","039","00218","Nawanshahr","218","800182","PUNJAB","Shahid Bhagat Singh Nagar","Rahon (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110860","-47607"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","937283","30.812577000000001","76.058824999999999","3","36","141418","03090200502","GSSS BEGOWAL\n\n","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","041","00226","Payal","226","033359","PUNJAB","Ludhiana","Begowal (251)","Department of Education","Rural","03","110768","-47207"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","937291","30.812994","76.059104000000005","3","36","141418","03090200501","GPS BEGOWAL","1","1","3","1","Primary","Co-education","03","041","00226","Payal","226","033359","PUNJAB","Ludhiana","Begowal (251)","Department of Education","Rural","03","110768","-47208"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","937805","30.844338","76.061593999999999","3","36","141113","03090501301","GPS CHHANDRAN\n","1","1","3","1","Primary","Co-education","03","041","00227","Ludhiana (East)","227","033363","PUNJAB","Ludhiana","Chhandaran (213)","Department of Education","Rural","03","110772","-47261"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","937806","30.844359000000001","76.061462000000006","3","36","141113","03090501302","GMS CHHANDRAN\n","1","4","3","1","Upper Primary only","Co-education","03","041","00227","Ludhiana (East)","227","033363","PUNJAB","Ludhiana","Chhandaran (213)","Department of Education","Rural","03","110772","-47261"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","940960","31.045490999999998","76.061161999999996","3","40","144518","03060102501","GPS GARHI BHARATI","1","1","3","1","Primary","Co-education","03","039","00218","Nawanshahr","218","032269","PUNJAB","Shahid Bhagat Singh Nagar","Bazidpur (217)","Department of Education","Rural","03","110771","-47603"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","939027","30.904641000000002","76.164146000000002","3","36","141115","03090700803","GARDEN VALLEY INTERNATIONAL SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00224","Samrala","224","033079","PUNJAB","Ludhiana","Bhattian (78)","Pvt. Unaided (Recognized)","Rural","03","110921","-47364"
