"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"vilname","upperLeft","76.437028285071975","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","930818","30.487586","76.122122000000005","3","41","147201","03170405801","GPS GHANIWAL","1","1","3","1","Primary","Co-education","03","048","00252","Nabha","252","036408","PUNJAB","Patiala","Ghaniawal (157)","Department of Education","Rural","03","110860","-46657"
"","","76.437028285071975","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","930856","30.489183000000001","76.122834999999995","3","41","147201","03170405802","GMS GHANIWAL","1","4","3","1","Upper Primary only","Co-education","03","048","00252","Nabha","252","036408","PUNJAB","Patiala","Ghaniawal (157)","Department of Education","Rural","03","110861","-46660"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","932041","30.540065999999999","76.122304","3","41","147202","03170403101","GPS BUGGA KHURD","1","1","3","1","Primary","Co-education","03","048","00252","Nabha","252","036420","PUNJAB","Patiala","Bugga Khurd  (94)","Department of Education","Rural","03","110860","-46746"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","936067","30.742961000000001","76.122292000000002","3","36","141412","03090406501","GPS MEHNDIPUR","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033209","PUNJAB","Ludhiana","Mehandipur (232)","Department of Education","Rural","03","110860","-47089"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","932045","30.540101","76.061081000000001","3","737","148022","03160710402","GSSS BHUMSI","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","797","00269","Malerkotla","269","039498","PUNJAB","Malerkotla","Ladewal (133)","Department of Education","Rural","03","110771","-46746"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","935165","30.700536","76.057652000000004","3","36","141416","03090203001","GPS JALLAH","1","1","3","1","Primary","Co-education","03","041","00226","Payal","226","033325","PUNJAB","Ludhiana","Jallah (231)","Department of Education","Rural","03","110766","-47018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","935169","30.700813","76.057620999999997","3","36","141416","03090203002","SHAHEED SIPAHI SITAL SINGH GMS JALLAH","1","4","3","1","Upper Primary only","Co-education","03","041","00226","Payal","226","033325","PUNJAB","Ludhiana","Jallah (231)","Department of Education","Rural","03","110766","-47018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","935549","30.71931","76.060862","3","36","141416","03090206201","GPS PAYAL I","1","1","3","2","Primary","Co-education","03","041","00226","Payal","226","800192","PUNJAB","Ludhiana","Payal (M Cl)","Department of Education","Urban","03","110771","-47049"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","935624","30.723109999999998","76.061569000000006","3","36","141416","03090206901","NATIONAL PUBLIC SEN SEC SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00226","Payal","226","800192","PUNJAB","Ludhiana","Payal (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110772","-47056"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","932506","30.562857000000001","76.212986999999998","3","30","147203","03080202801","GPS BHATTON","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032813","PUNJAB","Fatehgarh Sahib","Bhatton (69)","Department of Education","Rural","03","110992","-46785"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","935114","30.698474000000001","76.212481999999994","3","36","141401","03090409802","D.A.V. PUBLIC SEN.SEC. SCHOOL\n","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00225","Khanna","225","","PUNJAB","Ludhiana"," ","Pvt. Unaided (Recognized)","Urban","03","110992","-47014"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","935157","30.700216999999999","76.213071999999997","3","36","141401","03090410803","GMS MUHALA RAMDASIA","1","4","3","2","Upper Primary only","Co-education","03","041","00225","Khanna","225","800191","PUNJAB","Ludhiana","Khanna (M Cl)","Department of Education","Urban","03","110992","-47017"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_cat","esriFieldTypeString","Category","50","935193","30.701606000000002","76.213466999999994","3","36","141401","03090408604","NAROTTAM VIDYA MANDIR","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00225","Khanna","225","800191","PUNJAB","Ludhiana","Khanna (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110993","-47019"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_typ","esriFieldTypeString","School Type","30","935250","30.704236999999999","76.213685999999996","3","36","141401","03090411301","HOLLYWOOD PUBLIC SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","041","00225","Khanna","225","800191","PUNJAB","Ludhiana","Khanna (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110993","-47024"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stcode11","esriFieldTypeString","stcode11","2","935252","30.704284999999999","76.213643000000005","3","36","141401","03090409003","HIMALYA PUBLIC SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00225","Khanna","225","800191","PUNJAB","Ludhiana","Khanna (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110993","-47024"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtcode11","esriFieldTypeString","dtcode11","3","935285","30.705545000000001","76.213392999999996","3","36","141401","03090409302","ATAM MANOHAR JAIN MODERN SEN.SEC.SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00225","Khanna","225","800191","PUNJAB","Ludhiana","Khanna (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110993","-47026"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtcode11","esriFieldTypeString","sdtcode11","5","935505","30.716957000000001","76.213785000000001","3","36","141401","03090409104","N.J.S.A. PUBLIC SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00225","Khanna","225","","PUNJAB","Ludhiana"," ","Pvt. Unaided (Recognized)","Urban","03","110993","-47045"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtname","esriFieldTypeString","Sub-district","30","932218","30.549973000000001","76.162982","3","30","147203","03080208001","GPS RAIAWAL","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032820","PUNJAB","Fatehgarh Sahib","Raiwala (81)","Department of Education","Rural","03","110919","-46763"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","subdt_lgd","esriFieldTypeInteger","subdt_lgd","","933469","30.615107999999999","76.163511","3","30","147203","03080205601","GPS KAULGARH","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032849","PUNJAB","Fatehgarh Sahib","Kaulgarh (167)","Department of Education","Rural","03","110920","-46873"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilcode11","esriFieldTypeString","vilcode11","6","933470","30.615165999999999","76.163194000000004","3","30","147203","03080205602","GMS KAULGARH","1","4","3","1","Upper Primary only","Co-education","03","040","00222","Amloh","222","032849","PUNJAB","Fatehgarh Sahib","Kaulgarh (167)","Department of Education","Rural","03","110920","-46873"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stname","esriFieldTypeString","State","30","933902","30.639537000000001","76.162802999999997","3","30","147203","03080204901","GPS HIMMATGARH","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032842","PUNJAB","Fatehgarh Sahib","Himmatgarh (165)","Department of Education","Rural","03","110919","-46914"
