"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"vilname","upperLeft","152.87405657041043","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","937388","30.81964","75.601997999999995","3","36","142023","03090306001","GPS SHEKHUPURA","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033788","PUNJAB","Ludhiana","Sheikhupura (110)","Department of Education","Rural","03","55051","-23610","True"
"","","152.87405657041043","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","942786","31.209","75.602000000000004","3","34","144032","03040510801","GPS PANDORI RAJPUTTAN","1","1","3","1","Primary","Co-education","03","037","00210","Nakodar","210","029936","PUNJAB","Jalandhar","Pindori Rajputan (1)","Department of Education","Rural","03","55051","-23941",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","943769","31.295311000000002","75.601214999999996","3","34","144022","03040112614","GSSS GARHA","1","5","3","2","Up. Pr. Secondary and Higher Sec","Co-education","03","037","00212","Jalandhar - I","212","","PUNJAB","Jalandhar"," ","Department of Education","Urban","03","55051","-24014",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","943826","31.301777000000001","75.600491000000005","3","34","144025","03040217716","J.S.MODEL SCHOOL, HARDAYIAL NAGAR (EAST-01)","5","2","3","2","Primary with Upper Primary","Co-education","03","037","00212","Jalandhar - I","212","800166","PUNJAB","Jalandhar","Jalandhar (M Corp.)","Pvt. Unaided (Recognized)","Urban","03","55050","-24020",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","943923","31.310675","75.600646999999995","3","34","144001","03040111021","LYALLPUR KHALSA COLLEGIATE SENIOR SECONDARY SCHOOL, (EAST-04)","5","11","3","2","Higher Secondary only/Jr. College","Co-education","03","037","00212","Jalandhar - I","212","800166","PUNJAB","Jalandhar","Jalandhar (M Corp.)","Pvt. Unaided (Recognized)","Urban","03","55050","-24027",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","944003","31.315228000000001","75.599939000000006","3","34","144005","03040111921","ST. JOSEPH_S CONVENT SCHOOL DEEP NAGAR","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","037","00212","Jalandhar - I","212","800166","PUNJAB","Jalandhar","Jalandhar (M Corp.)","Pvt. Unaided (Recognized)","Urban","03","55050","-24031",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","944077","31.319576999999999","75.601056","3","34","144001","03040111104","SD PHULLARWAN GIRLS HIGH SCHOOL (AIDED)","4","5","2","2","Up. Pr. Secondary and Higher Sec","Girls","03","037","00212","Jalandhar - I","212","800166","PUNJAB","Jalandhar","Jalandhar (M Corp.)","Government Aided","Urban","03","55051","-24035",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","944240","31.328135","75.601889","3","34","144001","03040217929","JALANDHAR PUBLIC SCHOOL, KAMAL VIHAR , NEAR SURYA ENCLAVE (EAST-01)","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","037","00212","Jalandhar - I","212","800166","PUNJAB","Jalandhar","Jalandhar (M Corp.)","Pvt. Unaided (Recognized)","Urban","03","55051","-24042",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","936532","30.769493000000001","75.628169999999997","3","36","141104","03091202306","SATYA BHARTI SCHOOL , SUDHAR","5","1","3","1","Primary","Co-education","03","041","00229","Raikot","229","033683","PUNJAB","Ludhiana","Sudhar (90)","Pvt. Unaided (Recognized)","Rural","03","55070","-23567",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","936533","30.769514999999998","75.628287999999998","3","36","141107","03091200403","S GURU GOBIND SINGH MODEL SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","041","00229","Raikot","229","033683","PUNJAB","Ludhiana","Sudhar (90)","Pvt. Unaided (Recognized)","Rural","03","55070","-23567",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","937277","30.812370999999999","75.627871999999996","3","36","141422","03091200603","SANT SUNDER SINGH SS SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00230","Jagraon","230","033787","PUNJAB","Ludhiana","Boparai Kalan (88)","Pvt. Unaided (Recognized)","Rural","03","55070","-23604",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","937842","30.845763999999999","75.628831000000005","3","36","141101","03090305202","GHS MANDIANI","1","7","3","1","Upper Pr. and Secondary","Co-education","03","041","00228","Ludhiana (West)","228","033669","PUNJAB","Ludhiana","Mandiani (77)","Department of Education","Rural","03","55071","-23632",""
