"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_cat","esriFieldTypeString","Category","50","920200","30.139375000000001","75.823611999999997","3","43","148028","03161207409","THE MILLENNIUM SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55213","-23035",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_typ","esriFieldTypeString","School Type","30","900540","29.545065999999998","75.699083000000002","6","61","125111","06100200317","VISHVAS NAV SHARDA PUBLIC SCHO","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","06","078","00388","Fatehabad","388","060425","HARYANA","Fatehabad","Baijalpur(186)","Pvt. Unaided (Recognized)","Urban","06","55122","-22536",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stcode11","esriFieldTypeString","stcode11","2","901568","29.577100000000002","75.700100000000006","6","61","125111","06100202601","GPS SINTHLA","1","1","3","1","Primary","Co-education","06","078","00388","Fatehabad","388","060425","HARYANA","Fatehabad","Baijalpur(186)","Department of Education","Rural","06","55123","-22563",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtcode11","esriFieldTypeString","dtcode11","3","907615","29.772839999999999","75.698749000000007","3","37","151501","03150203302","GPS GORKHNATH","1","1","3","1","Primary","Co-education","03","047","00248","Budhlada","248","036010","PUNJAB","Mansa","Gorakh Nath (180)","Department of Education","Rural","03","55122","-22727",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtcode11","esriFieldTypeString","sdtcode11","5","907656","29.774100000000001","75.698482999999996","3","37","151501","03150203301","GMS GORKHNATH","1","4","3","1","Upper Primary only","Co-education","03","047","00248","Budhlada","248","036010","PUNJAB","Mansa","Gorakh Nath (180)","Department of Education","Rural","03","55122","-22728",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtname","esriFieldTypeString","Sub-district","30","911340","29.881216999999999","75.699478999999997","3","37","151501","03150200905","GPS BAHADURPUR EGS","1","1","3","1","Primary","Co-education","03","047","00248","Budhlada","248","036041","PUNJAB","Mansa","Bahadarpur (168)","Department of Education","Rural","03","55122","-22818",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","subdt_lgd","esriFieldTypeInteger","subdt_lgd","","918090","30.069520000000001","75.700029000000001","3","43","148029","03161203502","Shaheed Sipahi Gurbinder Singh Government High School Tolawal","1","7","3","1","Upper Pr. and Secondary","Co-education","03","053","00272","Sunam","272","039861","PUNJAB","Sangrur","Tolawal (17)","Department of Education","Rural","03","55123","-22976",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilcode11","esriFieldTypeString","vilcode11","6","902296","29.598973000000001","75.589337","6","61","125051","06100405101","GPS PALSAR","1","1","3","1","Primary","Co-education","06","078","00386","Ratia","386","060320","HARYANA","Fatehabad","Palsar(84)","Department of Education","Rural","06","55042","-22581",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stname","esriFieldTypeString","State","30","902300","29.599153999999999","75.589314999999999","6","61","125051","06100405102","GMS PALSAR","1","4","3","1","Upper Primary only","Co-education","06","078","00386","Ratia","386","060320","HARYANA","Fatehabad","Palsar(84)","Department of Education","Rural","06","55042","-22581",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtname","esriFieldTypeString","District","50","907559","29.771018000000002","75.588137000000003","3","37","151503","03150207101","GSS REOND KALAN","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","047","00248","Budhlada","248","036002","PUNJAB","Mansa","Reond Kalan (152)","Department of Education","Rural","03","55041","-22725",""
