"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"vilname","upperLeft","38.218514142537281","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","936403","30.760961999999999","75.558242000000007","3","36","142030","03090303201","GPS HANS KALAN","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033771","PUNJAB","Ludhiana","Hans (105)","Department of Education","Rural","03","220078","-94240"
"","","38.218514142537281","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","937381","30.819123000000001","75.556073999999995","3","36","142024","03094100226","CT DEGREE COLLEGE (COLLEGIATE)","5","11","3","1","Higher Secondary only/Jr. College","Co-education","03","041","00230","Jagraon","230","033789","PUNJAB","Ludhiana","Mann (112)","Pvt. Unaided (Recognized)","Rural","03","220071","-94437"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","936271","30.754011999999999","75.517987000000005","3","36","142030","03090302702","GHS DHOLAN","1","7","3","1","Upper Pr. and Secondary","Co-education","03","041","00230","Jagraon","230","033773","PUNJAB","Ludhiana","Dholan (116)","Department of Education","Rural","03","219960","-94216"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","936883","30.792271","75.520194000000004","3","36","142023","03090305101","GPS MEERPUR","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033780","PUNJAB","Ludhiana","Mirpur (114)","Department of Education","Rural","03","219967","-94346"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","936947","30.796682000000001","75.518519999999995","3","36","142023","03090302801","GPS GAGRA","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033781","PUNJAB","Ludhiana","Gagra (118)","Department of Education","Rural","03","219962","-94361"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","936965","30.797795000000001","75.518679000000006","3","36","142023","03090302802","GHS GAGRA","1","7","3","1","Upper Pr. and Secondary","Co-education","03","041","00230","Jagraon","230","033781","PUNJAB","Ludhiana","Gagra (118)","Department of Education","Rural","03","219962","-94365"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","937286","30.812722999999998","75.523166000000003","3","36","142024","03090307801","SACRED HEART CONVENT SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00230","Jagraon","230","800199","PUNJAB","Ludhiana","Jagraon (M Cl)","Pvt. Unaided (Recognized)","Rural","03","219975","-94415"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","937571","30.830870999999998","75.518778999999995","3","36","142024","03091106302","SATYA BHARTI SCHOOL, PONA","5","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033793","PUNJAB","Ludhiana","Pona (60)","Pvt. Unaided (Recognized)","Rural","03","219963","-94477"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","937578","30.831118","75.519239999999996","3","36","142024","03091106301","GPS PONA","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033793","PUNJAB","Ludhiana","Pona (60)","Department of Education","Rural","03","219964","-94478"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","938276","30.866617999999999","75.517127000000002","3","36","142024","03091100902","SAINT SANT RAM GURUKUL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","041","00230","Jagraon","230","033801","PUNJAB","Ludhiana","Bazurg (58)","Pvt. Unaided (Recognized)","Rural","03","219958","-94598"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","938314","30.868048999999999","75.520312000000004","3","36","142024","03091100903","SATYA BHARTI SCHOOL, BUZARG","5","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033801","PUNJAB","Ludhiana","Bazurg (58)","Pvt. Unaided (Recognized)","Rural","03","219967","-94603"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","938262","30.866206999999999","75.549344000000005","3","36","142024","03091102003","SHAHEED SUKHDEV MEMORIAL PUBLIC SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","041","00230","Jagraon","230","033803","PUNJAB","Ludhiana","Virk (63)","Pvt. Unaided (Recognized)","Rural","03","220052","-94597"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_cat","esriFieldTypeString","Category","50","938263","30.866211","75.549282000000005","3","36","142024","03091101102","GSSS BARSAL","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","041","00230","Jagraon","230","033803","PUNJAB","Ludhiana","Virk (63)","Department of Education","Rural","03","220051","-94597"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_typ","esriFieldTypeString","School Type","30","937511","30.827335000000001","75.550978000000001","3","36","142024","03090306103","GURU HARGOBIND PUBLIC SR.SEC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00230","Jagraon","230","033791","PUNJAB","Ludhiana","Sidhwan Khurd (62)","Pvt. Unaided (Recognized)","Rural","03","220056","-94465"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stcode11","esriFieldTypeString","stcode11","2","937536","30.828689000000001","75.552313999999996","3","36","142024","03090306102","SIKH GIRLS SEN.SEC.SCHOOL","4","5","2","1","Up. Pr. Secondary and Higher Sec","Girls","03","041","00230","Jagraon","230","033791","PUNJAB","Ludhiana","Sidhwan Khurd (62)","Government Aided","Rural","03","220060","-94470"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtcode11","esriFieldTypeString","dtcode11","3","937579","30.831199999999999","75.550818000000007","3","36","142024","03090306101","GPS SIDHWAN KHURD","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033791","PUNJAB","Ludhiana","Sidhwan Khurd (62)","Department of Education","Rural","03","220056","-94478"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtcode11","esriFieldTypeString","sdtcode11","5","938192","30.863526","75.554105000000007","3","36","142024","03091102002","GMS BIRK","1","4","3","1","Upper Primary only","Co-education","03","041","00230","Jagraon","230","033803","PUNJAB","Ludhiana","Virk (63)","Department of Education","Rural","03","220065","-94588"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtname","esriFieldTypeString","Sub-district","30","938207","30.864099","75.554109999999994","3","36","142024","03091102001","GPS BIRK","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033803","PUNJAB","Ludhiana","Virk (63)","Department of Education","Rural","03","220066","-94590"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","subdt_lgd","esriFieldTypeInteger","subdt_lgd","","938451","30.874663999999999","75.433895000000007","3","36","142036","03091107501","GPS SHEKH DAULAT","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033874","PUNJAB","Ludhiana","Sheikh Daulat (47)","Department of Education","Rural","03","219715","-94626"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilcode11","esriFieldTypeString","vilcode11","6","936804","30.787690000000001","75.515328999999994","3","36","142023","03090301201","GPS BIR GAGRA","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033780","PUNJAB","Ludhiana","Mirpur (114)","Department of Education","Rural","03","219953","-94331"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stname","esriFieldTypeString","State","30","938294","30.867460000000001","75.516586000000004","3","36","142024","03091100901","GPS BUZRAG","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033801","PUNJAB","Ludhiana","Bazurg (58)","Department of Education","Rural","03","219956","-94601"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtname","esriFieldTypeString","District","50","937265","30.811526000000001","75.511939999999996","3","36","142024","03090305801","GPS S.R.S NAGAR","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","800199","PUNJAB","Ludhiana","Jagraon (M Cl)","Department of Education","Rural","03","219943","-94411"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilname","esriFieldTypeString","Village","50","938714","30.889907999999998","75.510692000000006","3","36","142033","03091106702","GMS RASULPUR DHAHA","1","4","3","1","Upper Primary only","Co-education","03","041","00230","Jagraon","230","033829","PUNJAB","Ludhiana","Rasulpur Jandi (57)","Department of Education","Rural","03","219939","-94677"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","management","esriFieldTypeString","Management","50","937249","30.810563999999999","75.419403000000003","3","36","142026","03090300207","SPRING DEW PUBLIC SCHOOL\n","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00230","Jagraon","230","033885","PUNJAB","Ludhiana","Agwar Lopon Khurd (133)","Pvt. Unaided (Recognized)","Rural","03","219673","-94408"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","location","esriFieldTypeString","Location","30","938149","30.861664999999999","75.444213000000005","3","36","142036","03091107901","GPS SHERPUR KHURD","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033877","PUNJAB","Ludhiana","Sherpur Khurd (46)","Department of Education","Rural","03","219745","-94581"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","udise_stco","esriFieldTypeString","udise_stco","2","936724","30.783650999999999","75.473451999999995","3","36","142026","03090307105","GPS CENTRAL BOYS","1","1","3","2","Primary","Co-education","03","041","00230","Jagraon","230","033776","PUNJAB","Ludhiana","Agwar rahlan (130)","Department of Education","Urban","03","219831","-94317"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","936737","30.784058999999999","75.473293999999996","3","36","142026","03090308001","GPS CENTRAL GIRLS","1","1","3","2","Primary","Co-education","03","041","00230","Jagraon","230","033776","PUNJAB","Ludhiana","Agwar rahlan (130)","Department of Education","Urban","03","219830","-94318"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","936747","30.784483999999999","75.473715999999996","3","36","142026","03090306604","GPS AGGWAR GUJJRAN GIRLS","1","1","3","2","Primary","Co-education","03","041","00230","Jagraon","230","033774","PUNJAB","Ludhiana","Agwar Ladhai (128)","Department of Education","Urban","03","219831","-94320"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","936810","30.787918000000001","75.472515000000001","3","36","142026","03090306901","SMT T.D.J ARYA VIDYA MANDIR","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","041","00230","Jagraon","230","033774","PUNJAB","Ludhiana","Agwar Ladhai (128)","Pvt. Unaided (Recognized)","Urban","03","219828","-94331"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","936817","30.788381999999999","75.472819000000001","3","36","142026","03090300205","Wariyam Singh Memorial Adarsh Middle School","5","2","3","1","Primary with Upper Primary","Co-education","03","041","00230","Jagraon","230","033774","PUNJAB","Ludhiana","Agwar Ladhai (128)","Pvt. Unaided (Recognized)","Rural","03","219829","-94333"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","936835","30.789152000000001","75.472651999999997","3","36","142026","03090306502","SARWHITKARI VIDYA SR.SEC.SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00230","Jagraon","230","033774","PUNJAB","Ludhiana","Agwar Ladhai (128)","Pvt. Unaided (Recognized)","Urban","03","219828","-94335"
