"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"vilname","upperLeft","38.218514142537281","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","936770","30.786000999999999","76.081975999999997","3","36","141421","03090404503","D.N. EVEREST MODEL HIGH SCHOOL","5","2","3","1","Primary with Upper Primary","Co-education","03","041","00225","Khanna","225","033214","PUNJAB","Ludhiana","Jaspalon (150)","Pvt. Unaided (Recognized)","Rural","03","221603","-94325"
"","","38.218514142537281","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","936795","30.787220000000001","76.081867000000003","3","36","141421","03090404501","SIKH GIRLS HIGH SCHOOL","4","6","2","1","Pr. Up Pr. and Secondary Only","Girls","03","041","00225","Khanna","225","033214","PUNJAB","Ludhiana","Jaspalon (150)","Government Aided","Rural","03","221603","-94329"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","937919","30.850228000000001","76.083526000000006","3","36","141113","03090503103","GSSS KATANI KALAN","1","5","2","1","Up. Pr. Secondary and Higher Sec","Girls","03","041","00227","Ludhiana (East)","227","033362","PUNJAB","Ludhiana","Katani Kalan (212)","Department of Education","Rural","03","221608","-94543"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","937920","30.850387999999999","76.081867000000003","3","36","141113","03090503102","GHS KATANI KALAN","1","7","1","1","Upper Pr. and Secondary","Boys","03","041","00227","Ludhiana (East)","227","033362","PUNJAB","Ludhiana","Katani Kalan (212)","Department of Education","Rural","03","221603","-94543"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","938010","30.855304","76.082397999999998","3","36","141113","03090503201","GPS KATANI KHURD","1","1","3","1","Primary","Co-education","03","041","00227","Ludhiana (East)","227","033366","PUNJAB","Ludhiana","Katani Khurd (211)","Department of Education","Rural","03","221604","-94560"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","938697","30.889220999999999","76.081843000000006","3","36","141126","03090611802","GMS PANJETA","1","4","3","1","Upper Primary only","Co-education","03","041","00227","Ludhiana (East)","227","033371","PUNJAB","Ludhiana","Panjeta (209)","Department of Education","Rural","03","221603","-94675"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","938813","30.894815999999999","76.084721000000002","3","36","141126","03090611801","GPS PANJETA","1","1","3","1","Primary","Co-education","03","041","00227","Ludhiana (East)","227","033371","PUNJAB","Ludhiana","Panjeta (209)","Department of Education","Rural","03","221611","-94694"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","936268","30.753909","76.081218000000007","3","36","141416","03090405401","GPS Kot Sekhon","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033215","PUNJAB","Ludhiana","Kot Sheikhon (154)","Department of Education","Rural","03","221601","-94216"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","937875","30.847557999999999","76.081136999999998","3","36","141113","03090503101","GPS KATANI KALAN","1","1","3","1","Primary","Co-education","03","041","00227","Ludhiana (East)","227","033362","PUNJAB","Ludhiana","Katani Kalan (212)","Department of Education","Rural","03","221601","-94534"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","936856","30.790306000000001","76.091768999999999","3","36","141421","03091006101","GPS TAMKODI","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033122","PUNJAB","Ludhiana","Tamkaudi (332)","Department of Education","Rural","03","221632","-94339"
