"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","939949","30.946539000000001","75.834846999999996","3","36","141001","03090507707","JYOTI MODEL HIGH SCHOOL","5","2","3","2","Primary with Upper Primary","Co-education","03","041","00228","Ludhiana (West)","228","800196","PUNJAB","Ludhiana","Ludhiana (M Corp.)","Pvt. Unaided (Recognized)","Urban","03","883533","-379478"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","939565","30.928587","75.798164999999997","3","36","141001","03090506922","SARASWATI VIDYA MANDIR HIGH SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","041","00228","Ludhiana (West)","228","033609","PUNJAB","Ludhiana","Balloke (103)","Pvt. Unaided (Recognized)","Rural","03","883105","-379234"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_cat","esriFieldTypeString","Category","50","939715","30.934415000000001","75.803808000000004","3","36","141001","03090506931","LAJWANTI SER. SEC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00228","Ludhiana (West)","228","033609","PUNJAB","Ludhiana","Balloke (103)","Pvt. Unaided (Recognized)","Rural","03","883171","-379313"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_typ","esriFieldTypeString","School Type","30","939838","30.940639000000001","75.803264999999996","3","36","141008","03090604601","GPS CHUHARPUR","1","1","3","1","Primary","Co-education","03","041","00228","Ludhiana (West)","228","033610","PUNJAB","Ludhiana","Chuharpura (104)","Department of Education","Rural","03","883165","-379398"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stcode11","esriFieldTypeString","stcode11","2","939839","30.940674999999999","75.803396000000006","3","36","141008","03090604602","GMS CHUHARPUR","1","4","3","1","Upper Primary only","Co-education","03","041","00228","Ludhiana (West)","228","033610","PUNJAB","Ludhiana","Chuharpura (104)","Department of Education","Rural","03","883166","-379399"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtcode11","esriFieldTypeString","dtcode11","3","938060","30.857555999999999","75.800118999999995","3","36","142022","03090501401","GPS DAAD","1","1","3","1","Primary","Co-education","03","041","00228","Ludhiana (West)","228","033588","PUNJAB","Ludhiana","Dad (279)","Department of Education","Rural","03","883128","-378270"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtcode11","esriFieldTypeString","sdtcode11","5","938489","30.877213999999999","75.800427999999997","3","36","141012","03090509216","GS MEMORIAL SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","041","00228","Ludhiana (West)","228","800196","PUNJAB","Ludhiana","Ludhiana (M Corp.)","Pvt. Unaided (Recognized)","Urban","03","883132","-378537"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtname","esriFieldTypeString","Sub-district","30","939530","30.926781999999999","75.800211000000004","3","36","141001","03090507703","SHREE GANPATI VIDYA MANDIR HIGH SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","041","00228","Ludhiana (West)","228","800196","PUNJAB","Ludhiana","Ludhiana (M Corp.)","Pvt. Unaided (Recognized)","Urban","03","883129","-379210"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","subdt_lgd","esriFieldTypeInteger","subdt_lgd","","940263","30.968091000000001","75.800743999999995","3","36","141110","03090610901","GPS MANJ FAGUWAL","1","1","3","1","Primary","Co-education","03","041","00228","Ludhiana (West)","228","033622","PUNJAB","Ludhiana","Manj (97)","Department of Education","Rural","03","883136","-379771"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilcode11","esriFieldTypeString","vilcode11","6","938034","30.856451","75.801574000000002","3","36","142022","03090501402","GHS DAAD","1","7","3","1","Upper Pr. and Secondary","Co-education","03","041","00228","Ludhiana (West)","228","033588","PUNJAB","Ludhiana","Dad (279)","Department of Education","Rural","03","883145","-378255"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stname","esriFieldTypeString","State","30","938644","30.886424000000002","75.801457999999997","3","36","141012","03090509115","BHAI SAHIB RANDHIR SINGH ACADEMY","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00228","Ludhiana (West)","228","800196","PUNJAB","Ludhiana","Ludhiana (M Corp.)","Pvt. Unaided (Recognized)","Urban","03","883144","-378662"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtname","esriFieldTypeString","District","50","939329","30.919298000000001","75.801372999999998","3","36","141001","03090507813","ADARSH PUBLIC SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","041","00228","Ludhiana (West)","228","800196","PUNJAB","Ludhiana","Ludhiana (M Corp.)","Pvt. Unaided (Recognized)","Urban","03","883143","-379108"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilname","esriFieldTypeString","Village","50","939534","30.926869","75.801084000000003","3","36","141001","03090506909","LAL CHAND BHATIA MODEL HIGH SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","041","00228","Ludhiana (West)","228","800196","PUNJAB","Ludhiana","Ludhiana (M Corp.)","Pvt. Unaided (Recognized)","Urban","03","883139","-379211"
