"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","935991","30.739301999999999","75.848939000000001","3","36","141118","03090101402","GSSS DEHLON","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","041","00227","Ludhiana (East)","227","033540","PUNJAB","Ludhiana","Dehlon (331)","Department of Education","Rural","03","55231","-23542",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","935993","30.739576","75.848653999999996","3","36","141118","03090101401","GPS DEHLON","1","1","3","1","Primary","Co-education","03","041","00227","Ludhiana (East)","227","033540","PUNJAB","Ludhiana","Dehlon (331)","Department of Education","Rural","03","55231","-23542",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","925446","30.315783","75.889824000000004","3","43","148034","03160905102","GSSS SARON","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","053","00271","Sangrur","271","039755","PUNJAB","Sangrur","Saron (27)","Department of Education","Rural","03","55261","-23184",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","925491","30.316420000000001","75.889971000000003","3","43","148034","03160905101","GPS SARON","1","1","3","1","Primary","Co-education","03","053","00271","Sangrur","271","039755","PUNJAB","Sangrur","Saron (27)","Department of Education","Rural","03","55261","-23184",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","926992","30.354589000000001","75.889870000000002","3","43","148024","03160500903","NEW HORIZONS GLOBAL SCHOOL PALASAUR","5","2","3","1","Primary with Upper Primary","Co-education","03","053","00270","Dhuri","270","039657","PUNJAB","Sangrur","Dhura (97)","Pvt. Unaided (Recognized)","Rural","03","55261","-23216",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","929532","30.434830000000002","75.889882999999998","3","43","148024","03160701102","GPS BHASAUR  PACHAM","1","1","3","1","Primary","Co-education","03","053","00270","Dhuri","270","039636","PUNJAB","Sangrur","Bhasaur (72)","Department of Education","Rural","03","55261","-23284",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","930560","30.477568999999999","75.890607000000003","3","737","148023","03160704902","GMS KISHANGARH","1","4","3","1","Upper Primary only","Co-education","03","797","00269","Malerkotla","269","039551","PUNJAB","Malerkotla","Kishangarh (95)","Department of Education","Rural","03","55261","-23320",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931564","30.518612000000001","75.890131999999994","3","737","148023","03160708502","AL HUDA PUBLIC HIGH SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","797","00269","Malerkotla","269","039545","PUNJAB","Malerkotla","Bir Ahmdabad (116)","Pvt. Unaided (Recognized)","Urban","03","55261","-23355",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931681","30.523720000000001","75.889764999999997","3","737","148023","03160704406","GPS KRISHNA COLONY","1","1","3","2","Primary","Co-education","03","797","00269","Malerkotla","269","039545","PUNJAB","Malerkotla","Bir Ahmdabad (116)","Department of Education","Urban","03","55261","-23359",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931704","30.525005","75.890120999999994","3","737","148023","03160108304","Vidyasagar Public school","5","2","3","1","Primary with Upper Primary","Co-education","03","797","00269","Malerkotla","269","800270","PUNJAB","Malerkotla","Malerkotla (M Cl)","Pvt. Unaided (Recognized)","Rural","03","55261","-23360",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933574","30.620809999999999","75.890649999999994","3","737","148019","03160107301","GPS TOTAPURI BASTI","1","1","3","1","Primary","Co-education","03","041","00226","Payal","226","033286","PUNJAB","Ludhiana","Sohian (404)","Department of Education","Rural","03","55261","-23441",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933579","30.621047999999998","75.890591000000001","3","36","141119","03090106503","UDAM SINGH PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00226","Payal","226","033286","PUNJAB","Ludhiana","Sohian (404)","Pvt. Unaided (Recognized)","Rural","03","55261","-23441",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","923105","30.245367000000002","75.916573999999997","3","43","148001","03160903602","GMS KHURANA","1","4","3","1","Upper Primary only","Co-education","03","053","00271","Sangrur","271","039753","PUNJAB","Sangrur","Khurana (40)","Department of Education","Rural","03","55280","-23124",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933245","30.60285","75.916028999999995","3","737","148023","03160110301","GPS NAROMAJRA","1","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039468","PUNJAB","Malerkotla","Naro Majra (105)","Department of Education","Rural","03","55280","-23426",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933597","30.621896","75.916973999999996","3","36","141119","03090106101","GPS SEKHA","1","1","3","1","Primary","Co-education","03","041","00226","Payal","226","033290","PUNJAB","Ludhiana","Sekha (405)","Department of Education","Rural","03","55281","-23442",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933817","30.635467999999999","75.916608999999994","3","36","141119","03090100201","GPS BASTI BAZIGAR","1","1","3","1","Primary","Co-education","03","041","00226","Payal","226","033288","PUNJAB","Ludhiana","Ramgarh Sardaran (401)","Department of Education","Rural","03","55280","-23454",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","932567","30.566935000000001","75.912953999999999","3","737","148023","03160712001","GPS SAROUD","1","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039470","PUNJAB","Malerkotla","Saraud (43)","Department of Education","Rural","03","55278","-23396",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","934948","30.691685","75.913032000000001","3","36","141117","03090106401","GPS SIYAAR BOYS","1","1","1","1","Primary","Boys","03","041","00226","Payal","226","033315","PUNJAB","Ludhiana","Siarh (390)","Department of Education","Rural","03","55278","-23501",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","934952","30.691772","75.913302999999999","3","36","141117","03090106406","SHAHEED BHAI TARU SINGH PUBLIC SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","041","00226","Payal","226","033315","PUNJAB","Ludhiana","Siarh (390)","Pvt. Unaided (Recognized)","Rural","03","55278","-23501",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","935886","30.733626999999998","75.913497000000007","3","36","141118","03090103301","GPS KHATRA CHOHRAM","1","1","3","1","Primary","Co-education","03","041","00227","Ludhiana (East)","227","033522","PUNJAB","Ludhiana","Khatra Chaharmi (324)","Department of Education","Rural","03","55278","-23537",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","921802","30.194099999999999","75.847999999999999","3","43","148001","03160908003","CAMBRIDGE INTERNATIONAL SCHOOL SANGRUR","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","053","00271","Sangrur","271","039768","PUNJAB","Sangrur","Tung (48)","Pvt. Unaided (Recognized)","Rural","03","55230","-23081",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","929295","30.425747999999999","75.847757999999999","3","43","148023","03160709002","GHS BALAMGARH","1","7","3","1","Upper Pr. and Secondary","Co-education","03","053","00270","Dhuri","270","039634","PUNJAB","Sangrur","Balamgarh (70)","Department of Education","Rural","03","55230","-23276",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","929364","30.428224","75.848224000000002","3","43","148023","03160709001","GPS BALAMGARH","1","1","3","1","Primary","Co-education","03","053","00270","Dhuri","270","039634","PUNJAB","Sangrur","Balamgarh (70)","Department of Education","Rural","03","55231","-23278",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","933210","30.601649999999999","75.847551999999993","3","737","148019","03160104701","GPS JITWAL KALAN","1","1","3","1","Primary","Co-education","03","797","00269","Malerkotla","269","039413","PUNJAB","Malerkotla","Jitwal Kalan (29)","Department of Education","Rural","03","55230","-23425",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","927854","30.377655000000001","75.856354999999994","3","43","148024","03160503704","SARDAR PATEL GREEN WOOD PUB.SEN.SEC.SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","053","00270","Dhuri","270","800271","PUNJAB","Sangrur","Dhuri (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55236","-23236",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","921808","30.194368999999998","75.855727000000002","3","43","148002","03160903901","GPS KANOI","1","1","3","1","Primary","Co-education","03","053","00271","Sangrur","271","039767","PUNJAB","Sangrur","Kanoi (46)","Department of Education","Rural","03","55236","-23081",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","927704","30.374407999999999","75.855050000000006","3","43","148024","03160503502","PUBLIC MODEL HIGH SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","053","00270","Dhuri","270","800271","PUNJAB","Sangrur","Dhuri (M Cl)","Pvt. Unaided (Recognized)","Urban","03","55236","-23233",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","931239","30.504940000000001","75.854920000000007","3","737","148023","03160108303","HOLY HEART PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","797","00269","Malerkotla","269","039562","PUNJAB","Malerkotla","Mehdevi (90)","Pvt. Unaided (Recognized)","Rural","03","55235","-23343",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","934462","30.668666999999999","75.855647000000005","3","737","148021","03160100503","Shanti Tara Girls Collegiate Public School, Akbarpur, Ahmedgarh","5","10","3","1","Secondary with Higher Secondary","Co-education","03","797","00269","Malerkotla","269","039407","PUNJAB","Malerkotla","Akbarpura (19)","Pvt. Unaided (Recognized)","Rural","03","55236","-23482",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","934622","30.676521000000001","75.854854000000003","3","36","141117","03090102501","GPS JAGERA","1","1","3","1","Primary","Co-education","03","041","00227","Ludhiana (East)","227","033312","PUNJAB","Ludhiana","Nanakpur Jagera (337)","Department of Education","Rural","03","55235","-23488",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","927049","30.356009","75.887640000000005","3","43","148017","03160501801","GPS DHURA","1","1","3","1","Primary","Co-education","03","053","00270","Dhuri","270","039657","PUNJAB","Sangrur","Dhura (97)","Department of Education","Rural","03","55259","-23218",""
