"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"vilname","upperLeft","152.87405657041043","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","926850","30.350528000000001","76.179957999999999","3","41","147201","03170411301","GPS MEHAS","1","1","3","1","Primary","Co-education","03","048","00252","Nabha","252","036320","PUNJAB","Patiala","Mehas (185)","Department of Education","Rural","03","55472","-23213","True"
"","","152.87405657041043","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","931512","30.516259999999999","76.179280000000006","3","41","147202","03174100242","M.G. CONVENT SCHOOL","5","2","3","1","Primary with Upper Primary","Co-education","03","048","00252","Nabha","252","036428","PUNJAB","Patiala","Raisal (119)","Pvt. Unaided (Recognized)","Rural","03","55472","-23353",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","932292","30.553901","76.179449000000005","3","30","147203","03080203901","GPS DANGHERI","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032816","PUNJAB","Fatehgarh Sahib","Dargheri (72)","Department of Education","Rural","03","55472","-23385",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","932318","30.555029000000001","76.179480999999996","3","30","147203","03080203902","GMS DANGHERI","1","4","3","1","Upper Primary only","Co-education","03","040","00222","Amloh","222","032816","PUNJAB","Fatehgarh Sahib","Dargheri (72)","Department of Education","Rural","03","55472","-23386",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","923987","30.274512000000001","76.178539999999998","3","43","148026","03160402603","STEELMANS PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","053","00271","Sangrur","271","039691","PUNJAB","Sangrur","Channo (69)","Pvt. Unaided (Recognized)","Rural","03","55471","-23149",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","925960","30.327328000000001","76.178777999999994","3","41","147201","03170400501","GPS AGETI","1","1","3","1","Primary","Co-education","03","048","00252","Nabha","252","036308","PUNJAB","Patiala","Ageti (190)","Department of Education","Rural","03","55471","-23193",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","926866","30.350947999999999","76.178034999999994","3","41","147201","03170411302","GHS MEHAS","1","7","3","1","Upper Pr. and Secondary","Co-education","03","048","00252","Nabha","252","036320","PUNJAB","Patiala","Mehas (185)","Department of Education","Rural","03","55471","-23213",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","928186","30.386592","76.178040999999993","3","41","147201","03170416901","FOUNDATION PUBLIC SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","048","00252","Nabha","252","036329","PUNJAB","Patiala","Rohta (187)","Pvt. Unaided (Recognized)","Urban","03","55471","-23243",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","928234","30.388165000000001","76.178758999999999","3","41","147201","03170416907","SISTER NIVEDITA SCHOOL","5","1","3","2","Primary","Co-education","03","048","00252","Nabha","252","036329","PUNJAB","Patiala","Rohta (187)","Pvt. Unaided (Recognized)","Urban","03","55471","-23245",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","932501","30.562380999999998","76.178321999999994","3","30","147203","03080208301","GPS RAJGARH CHHANA","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032817","PUNJAB","Fatehgarh Sahib","Rajgarh Chhanna (73)","Department of Education","Rural","03","55471","-23392",""
