"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"vilname","upperLeft","38.218514142537281","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","940957","31.045413","76.177614000000005","3","40","144515","03060404601","GPS KAZAMPUR","1","1","3","1","Primary","Co-education","03","039","00218","Nawanshahr","218","032308","PUNJAB","Shahid Bhagat Singh Nagar","Kazampur (261)","Department of Education","Rural","03","221882","-95206"
"","","38.218514142537281","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","940843","31.035077000000001","76.124253999999993","3","40","144517","03060402602","APOLLO STAR INTERNATIONAL PUBLIC SCHOOL RAHON","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","039","00218","Nawanshahr","218","800182","PUNJAB","Shahid Bhagat Singh Nagar","Rahon (M Cl)","Pvt. Unaided (Recognized)","Rural","03","221726","-95170"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","940672","31.018405000000001","76.156127999999995","3","40","144517","03060401202","GSSS BEHLOOR KALAN","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","039","00218","Nawanshahr","218","032295","PUNJAB","Shahid Bhagat Singh Nagar","Bahlur Kalan (264)","Department of Education","Rural","03","221819","-95114"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","938985","30.902718","76.154798","3","36","141115","03090700802","GMS BHATTIAN","1","4","3","1","Upper Primary only","Co-education","03","041","00224","Samrala","224","033079","PUNJAB","Ludhiana","Bhattian (78)","Department of Education","Rural","03","221815","-94721"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","938999","30.903153","76.154836000000003","3","36","141115","03090700801","GPS Bhattian","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033079","PUNJAB","Ludhiana","Bhattian (78)","Department of Education","Rural","03","221815","-94722"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","940242","30.966180000000001","76.143193999999994","3","36","141127","03090600803","SATYA BHARTI ELEMENTARY SCHOOL, KHANPUR","5","2","3","1","Primary with Upper Primary","Co-education","03","041","00227","Ludhiana (East)","227","033391","PUNJAB","Ludhiana","Ghumana (2)","Pvt. Unaided (Recognized)","Rural","03","221781","-94936"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","940506","30.999421000000002","76.143294999999995","3","40","144517","03060404901","GPS KANAUN","1","1","3","1","Primary","Co-education","03","039","00218","Nawanshahr","218","032289","PUNJAB","Shahid Bhagat Singh Nagar","Kanaun (269)","Department of Education","Rural","03","221782","-95049"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","940130","30.956569999999999","76.262090000000001","3","36","141115","03090709101","GPS Salana Bet","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033062","PUNJAB","Ludhiana","Salana (275)","Department of Education","Rural","03","222128","-94904"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","940472","30.994474","76.262161000000006","3","36","141115","03090710101","GPS Sikanderpur","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","032995","PUNJAB","Ludhiana","Sikandarpur Bet (458)","Department of Education","Rural","03","222128","-95032"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","940009","30.949484999999999","76.261705000000006","3","36","141121","03090703705","SHRI GURU TEGH BAHADUR MODEL SEN.SEC.SCHOOL\n","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00224","Samrala","224","033059","PUNJAB","Ludhiana","Hedon Bet (272)","Pvt. Unaided (Recognized)","Rural","03","222127","-94880"
