"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"vilname","upperLeft","38.218514142537281","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","936975","30.798003000000001","75.692577999999997","3","36","141103","03091201503","CAMP KHALSA HIGH SCHOOL","4","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00228","Ludhiana (West)","228","033598","PUNJAB","Ludhiana","Mohi (82)","Government Aided","Rural","03","220469","-94365"
"","","38.218514142537281","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","937266","30.811556","75.691715000000002","3","36","141103","03091201506","SATYA BHARTI ELEMENTARY SCHOOL, MOHI","5","2","3","1","Primary with Upper Primary","Co-education","03","041","00228","Ludhiana (West)","228","033598","PUNJAB","Ludhiana","Mohi (82)","Pvt. Unaided (Recognized)","Rural","03","220466","-94411"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","936581","30.772721000000001","75.633269999999996","3","36","141104","03091202302","GPS SUDHAR GIRLS","1","1","3","1","Primary","Co-education","03","041","00229","Raikot","229","033683","PUNJAB","Ludhiana","Sudhar (90)","Department of Education","Rural","03","220296","-94280"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","937710","30.839328999999999","75.633685999999997","3","36","141101","03090305201","GPS MANDIANI","1","1","3","1","Primary","Co-education","03","041","00228","Ludhiana (West)","228","033669","PUNJAB","Ludhiana","Mandiani (77)","Department of Education","Rural","03","220297","-94506"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","938289","30.867215999999999","75.587165999999996","3","36","142025","03091107201","GPS SAWADDI KALAN","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033804","PUNJAB","Ludhiana","Swaddi Kalan (71)","Department of Education","Rural","03","220162","-94600"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","937192","30.807504000000002","75.759677999999994","3","36","142029","03090803602","GSSS MANSOORAN G","1","5","2","1","Up. Pr. Secondary and Higher Sec","Girls","03","041","00228","Ludhiana (West)","228","033593","PUNJAB","Ludhiana","Mansuran (290)","Department of Education","Rural","03","220664","-94398"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","938735","30.890675999999999","75.759028999999998","3","36","142027","03090500202","GPS AYALI KALAN GIRLS","1","1","2","1","Primary","Girls","03","041","00228","Ludhiana (West)","228","033605","PUNJAB","Ludhiana","Ayali Kalan (155)","Department of Education","Rural","03","220662","-94680"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","938737","30.890720000000002","75.759215999999995","3","36","142027","03090500203","GMS AYALI KALAN G","1","4","2","1","Upper Primary only","Girls","03","041","00228","Ludhiana (West)","228","033605","PUNJAB","Ludhiana","Ayali Kalan (155)","Department of Education","Rural","03","220663","-94680"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","938767","30.892161000000002","75.758544000000001","3","36","142027","03090500206","Shiva Public School","5","2","3","1","Primary with Upper Primary","Co-education","03","041","00228","Ludhiana (West)","228","033605","PUNJAB","Ludhiana","Ayali Kalan (155)","Pvt. Unaided (Recognized)","Rural","03","220661","-94685"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","938128","30.860837","75.750612000000004","3","36","142021","03090500301","GPS BADDOWAL CANTT\n","1","1","3","1","Primary","Co-education","03","041","00228","Ludhiana (West)","228","033679","PUNJAB","Ludhiana","Baddowal (CT)","Department of Education","Rural","03","220638","-94579"
